Simulation #20, Parameters: eta = 0.102477 | rho = 0.243300 | v0 = 0.424534s
Step 0 | Order = 0.034375974835753512 | Time = 0s
Step 1000 | Order = 0.86810628876649121 | Time = 0s
Step 2000 | Order = 0.84984593935876906 | Time = 1s
Step 3000 | Order = 0.87152862216863514 | Time = 1s
Step 4000 | Order = 0.8518129747026999 | Time = 2s
Step 5000 | Order = 0.8335423876155762 | Time = 2s
Step 6000 | Order = 0.86979034701177238 | Time = 3s
Step 7000 | Order = 0.86526791744083587 | Time = 3s
Step 8000 | Order = 0.86439875457722137 | Time = 3s
Step 9000 | Order = 0.86791495851328571 | Time = 4s
Step 10000 | Order = 0.8604791176661778 | Time = 4s
Step 11000 | Order = 0.85322713955950369 | Time = 5s
Step 12000 | Order = 0.87141138266239848 | Time = 5s
Step 13000 | Order = 0.86292270199187804 | Time = 5s
Step 14000 | Order = 0.86390771758163776 | Time = 6s
Step 15000 | Order = 0.85398433257811146 | Time = 6s
Step 16000 | Order = 0.87876361532227198 | Time = 7s
Step 17000 | Order = 0.85262720282612348 | Time = 7s
Step 18000 | Order = 0.84660948398026403 | Time = 8s
Step 19000 | Order = 0.83759555473933112 | Time = 8s
Step 20000 | Order = 0.8647335294042312 | Time = 8s
Step 21000 | Order = 0.85645682539006251 | Time = 9s
Step 22000 | Order = 0.86238972161395688 | Time = 9s
Step 23000 | Order = 0.86317757463128042 | Time = 9s
Step 24000 | Order = 0.85422562822672132 | Time = 10s
Step 25000 | Order = 0.86236525526671515 | Time = 10s
Step 26000 | Order = 0.8638624917371952 | Time = 11s
Step 27000 | Order = 0.86531874852899138 | Time = 11s
Step 28000 | Order = 0.84332174103190105 | Time = 12s
Step 29000 | Order = 0.86784797619056786 | Time = 12s
Step 30000 | Order = 0.87136039335365167 | Time = 12s
Step 31000 | Order = 0.87640952849171028 | Time = 13s
Step 32000 | Order = 0.87187676284553406 | Time = 13s
Step 33000 | Order = 0.85319169508301052 | Time = 14s
Step 34000 | Order = 0.86596648148593847 | Time = 14s
Step 35000 | Order = 0.85462562622063465 | Time = 14s
Step 36000 | Order = 0.85403432969847926 | Time = 15s
Step 37000 | Order = 0.86061365488829056 | Time = 15s
Step 38000 | Order = 0.84167920658673478 | Time = 16s
Step 39000 | Order = 0.86159618636363244 | Time = 16s
Step 40000 | Order = 0.85288279130484002 | Time = 16s
Step 41000 | Order = 0.87705206994570406 | Time = 17s
Step 42000 | Order = 0.85097054876823763 | Time = 17s
Step 43000 | Order = 0.85823636723090613 | Time = 17s
Step 44000 | Order = 0.86688249977884424 | Time = 18s
Step 45000 | Order = 0.85540322461085272 | Time = 18s
Step 46000 | Order = 0.85726155848069086 | Time = 19s
Step 47000 | Order = 0.85537784210378709 | Time = 19s
Step 48000 | Order = 0.87829599284080784 | Time = 20s
Step 49000 | Order = 0.86374156302168092 | Time = 20s
Step 50000 | Order = 0.84343615882084022 | Time = 20s
Step 51000 | Order = 0.86577586134941253 | Time = 21s
Step 52000 | Order = 0.85664485537002921 | Time = 21s
Step 53000 | Order = 0.84396574997577933 | Time = 22s
Step 54000 | Order = 0.86762872118031908 | Time = 22s
Step 55000 | Order = 0.86929437537748255 | Time = 22s
Step 56000 | Order = 0.87860908608542554 | Time = 23s
