eta,rho,v0,label
0.81391913,0.3821387,0.11320703,0.0
0.00332304,0.94561975,0.04159654,1.0
0.67500244,0.88601343,0.05205602,0.0
0.52144133,1.39891397,0.01222729,0.0
0.77440626,0.66033457,0.47211713,0.0
0.82417796,0.20322256,0.01052886,0.0
0.19525641,0.96872396,0.02208079,2.0
0.70388967,0.73203275,0.03127415,0.0
0.89689729,0.18753187,0.09507495,0.0
0.42950359,2.78202743,0.17865272,1.0
0.01056332,0.61966019,0.01458031,1.0
0.35136887,0.36306286,0.03332652,0.0
0.46563411,0.84095686,0.09715718,0.0
0.68251851,2.80731482,0.05566769,0.0
0.67022389,1.2672599,0.02298744,0.0
0.86077216,0.82773613,0.22060447,0.0
0.04915388,0.23292034,0.35586031,1.0
0.79957841,0.10993593,0.06140142,0.0
0.46499471,2.98348707,0.07801105,0.0
0.1427413,2.74586568,0.40639732,1.0
0.10247722,0.24329996,0.42453427,1.0
0.90063218,0.93705727,0.03462557,0.0
0.86793894,2.19021224,0.31056366,0.0
0.43427368,0.112604,0.05652734,0.0
0.8175596,0.41933021,0.20163535,0.0
0.45984572,0.68100646,0.25879093,0.0
0.03357056,0.47593064,0.22744159,1.0
0.29857792,0.12346187,0.07768375,0.0
0.13760452,0.29249861,0.0159806,2.0
0.97539333,0.15409402,0.01321751,0.0
0.04266154,1.16244212,0.01760229,1.0
0.18924906,1.37076897,0.02664056,1.0
0.07115352,0.43077427,0.05764321,1.0
0.42339076,0.31616299,0.04021414,0.0
0.51565482,0.15872924,0.18813208,0.0
0.94370036,0.87536377,0.04261729,0.0
0.65182623,0.99471901,0.08705059,0.0
0.41292009,0.18074894,0.09356873,0.0
0.51046603,1.4911861,0.24000255,0.0
0.10910967,0.32060954,0.17598044,1.0
0.62526645,0.63232453,0.01480747,0.0
0.78881229,0.13964458,0.03395538,0.0
0.34458957,0.30703201,0.06993017,0.0
0.29499708,0.10198525,0.0143899,0.0
0.16556064,1.20982106,0.21564477,1.0
0.19392936,1.30729185,0.15199073,1.0
0.63175673,1.04484561,0.0350214,0.0
0.3742329,1.25724205,0.0811483,0.0
0.59739825,1.68817605,0.20614055,0.0
0.66415348,1.42873555,0.24489878,0.0
0.23391423,0.97892311,0.04445428,2.0
0.63991466,0.68965275,0.22968933,0.0
0.45305267,1.96829978,0.3241022,0.0
0.64645262,0.39036332,0.02737125,0.0
0.32492197,0.23487645,0.01372353,0.0
0.98716086,0.34321702,0.02017762,0.0
0.97066608,0.2597517,0.28104669,0.0
0.56178644,0.28206887,0.05449535,0.0
0.28371269,0.40551021,0.16582385,0.0
0.70963635,1.07845204,0.14177275,0.0
0.72652641,0.11604356,0.4990133,0.0
0.76473353,0.48114306,0.09023579,0.0
0.03536367,0.61259288,0.02248871,1.0
0.69231988,2.13901838,0.06269301,0.0
0.36511802,0.92791028,0.01949706,0.0
0.48310175,0.63903419,0.10615148,0.0
0.76727874,0.79731938,0.4577704,0.0
0.27444184,1.34716927,0.0756192,2.0
0.99690873,1.0458665,0.01114524,0.0
0.44730772,0.28287406,0.0504928,0.0
0.53550604,0.56745612,0.34353346,0.0
0.74063974,2.57841401,0.01807972,0.0
0.73810146,0.50210109,0.04683643,0.0
0.02910486,0.39878479,0.13752939,1.0
0.22452611,1.11607951,0.05936459,1.0
0.49862851,1.85870402,0.34587369,0.0
0.72173981,1.71749729,0.14715995,0.0
0.34603649,0.48793812,0.13413806,0.0
0.31242482,0.22393621,0.38040785,0.0
0.07988446,0.12946062,0.26562287,1.0
0.56972706,0.10709886,0.02771203,0.0
0.48534237,0.74804551,0.0120416,0.0
0.02380411,0.15726162,0.03271255,1.0
0.25239242,1.18984117,0.02407637,2.0
0.59099854,0.11660403,0.10305864,0.0
0.28638868,0.59210029,0.06442066,0.0
0.40903431,0.25658011,0.04926005,0.0
0.38504422,1.55180746,0.06839346,0.0
0.71424372,0.43752362,0.10990033,0.0
0.93318485,2.3696925,0.04371002,0.0
0.89132105,0.26995429,0.0109121,0.0
0.06079832,0.18388772,0.11533987,1.0
0.9062086,0.81779965,0.03616863,0.0
0.27668235,0.2274894,0.01508799,0.0
0.60419369,0.5401515,0.01935536,0.0
0.0177275,0.46123969,0.19392103,1.0
0.11314828,0.69896302,0.18260219,1.0
0.61065545,0.35251706,0.0112869,0.0
0.84459735,2.27020283,0.27155594,0.0
0.39997637,0.32795863,0.31417168,0.0
0.20408105,0.28815536,0.02881867,0.0
0.21203592,0.55566087,0.24879192,1.0
0.35621292,1.13556811,0.05345406,0.0
0.32765847,0.17731888,0.08911623,0.0
0.37676724,1.37596654,0.16189658,0.0
0.54915175,1.09977482,0.15028887,0.0
0.00809864,2.10603013,0.03901235,1.0
0.50366139,2.91754792,0.01161504,0.0
0.05658036,0.30894439,0.02980215,1.0
0.80105594,2.04886245,0.03985057,0.0
0.88968919,0.14341359,0.02447526,0.0
0.54276588,0.12687246,0.20809521,0.0
0.55273079,0.60184282,0.01557325,0.0
0.93869716,1.53196334,0.03216611,0.0
0.13386299,1.45743875,0.02617298,1.0
0.24256132,1.60738965,0.01885707,2.0
0.09584038,0.10652435,0.06347084,2.0
