Simulation #37, Parameters: eta = 0.124886 | rho = 0.178772 | v0 = 0.0130329s
Step 0 | Order = 0.020338647742551761 | Time = 0s
Step 1000 | Order = 0.03130106049799497 | Time = 0s
Step 2000 | Order = 0.080598546851401429 | Time = 0s
Step 3000 | Order = 0.093257703532240263 | Time = 0s
Step 4000 | Order = 0.031627854563596965 | Time = 0s
Step 5000 | Order = 0.043383334510315806 | Time = 1s
Step 6000 | Order = 0.10805956350443181 | Time = 1s
Step 7000 | Order = 0.1298011889217677 | Time = 1s
Step 8000 | Order = 0.19018653074964986 | Time = 2s
Step 9000 | Order = 0.31177762596812397 | Time = 2s
Step 10000 | Order = 0.16222129396412754 | Time = 2s
Step 11000 | Order = 0.14131794104659665 | Time = 2s
Step 12000 | Order = 0.25052846776499804 | Time = 3s
Step 13000 | Order = 0.22742853725266299 | Time = 3s
Step 14000 | Order = 0.27608372919452667 | Time = 3s
Step 15000 | Order = 0.22438993407945937 | Time = 4s
Step 16000 | Order = 0.2507171794728203 | Time = 4s
Step 17000 | Order = 0.18843575308204757 | Time = 4s
Step 18000 | Order = 0.28181499138339566 | Time = 5s
Step 19000 | Order = 0.33548419738202007 | Time = 5s
Step 20000 | Order = 0.29779605082814514 | Time = 5s
Step 21000 | Order = 0.2913075353775097 | Time = 6s
Step 22000 | Order = 0.31540857200194677 | Time = 6s
Step 23000 | Order = 0.28407037643687549 | Time = 6s
Step 24000 | Order = 0.091946626525294034 | Time = 7s
Step 25000 | Order = 0.33789252387732482 | Time = 7s
Step 26000 | Order = 0.31023684700063453 | Time = 7s
Step 27000 | Order = 0.30397298980025939 | Time = 8s
Step 28000 | Order = 0.16930186281835086 | Time = 8s
Step 29000 | Order = 0.097017182187596654 | Time = 8s
Step 30000 | Order = 0.18249861884904431 | Time = 9s
Step 31000 | Order = 0.14828137070539726 | Time = 9s
Step 32000 | Order = 0.19971884635448151 | Time = 9s
Step 33000 | Order = 0.22265418517782287 | Time = 10s
Step 34000 | Order = 0.21675418801456656 | Time = 10s
Step 35000 | Order = 0.23854857977921176 | Time = 10s
Step 36000 | Order = 0.21071074030221842 | Time = 11s
Step 37000 | Order = 0.15524397808139995 | Time = 11s
Step 38000 | Order = 0.2330645001826705 | Time = 11s
Step 39000 | Order = 0.24623348457655708 | Time = 12s
Step 40000 | Order = 0.26693909014449113 | Time = 12s
Step 41000 | Order = 0.20356388462541242 | Time = 13s
Step 42000 | Order = 0.29552044134391481 | Time = 13s
Step 43000 | Order = 0.29802044230565411 | Time = 13s
Step 44000 | Order = 0.37595842504616628 | Time = 14s
Step 45000 | Order = 0.3978154909261703 | Time = 14s
Step 46000 | Order = 0.32665710470380693 | Time = 14s
Step 47000 | Order = 0.17556934703429086 | Time = 15s
Step 48000 | Order = 0.19059018023392876 | Time = 15s
Step 49000 | Order = 0.22534212572469353 | Time = 15s
Step 50000 | Order = 0.37759417020518687 | Time = 16s
Step 51000 | Order = 0.29373742161285671 | Time = 16s
Step 52000 | Order = 0.22960262287483524 | Time = 16s
Step 53000 | Order = 0.19903443481613481 | Time = 17s
Step 54000 | Order = 0.19498997110415323 | Time = 17s
Step 55000 | Order = 0.24971972001442377 | Time = 17s
Step 56000 | Order = 0.24339682136572804 | Time = 18s
Step 57000 | Order = 0.23407034030921223 | Time = 18s
Step 58000 | Order = 0.16626640493131212 | Time = 19s
Step 59000 | Order = 0.46772697693201704 | Time = 19s
Step 60000 | Order = 0.38397036912938981 | Time = 19s
Step 61000 | Order = 0.35604529546114499 | Time = 20s
Step 62000 | Order = 0.37976802062921133 | Time = 20s
Step 63000 | Order = 0.13077592725633225 | Time = 20s
Step 64000 | Order = 0.18474470730492373 | Time = 21s
Step 65000 | Order = 0.12394749925492612 | Time = 21s
Step 66000 | Order = 0.2471505847176089 | Time = 21s
Step 67000 | Order = 0.37672596935967551 | Time = 22s
Step 68000 | Order = 0.25826659613089514 | Time = 22s
Step 69000 | Order = 0.32257629675147648 | Time = 23s
Step 70000 | Order = 0.33406671172133362 | Time = 23s
Step 71000 | Order = 0.17931624659013276 | Time = 23s
Step 72000 | Order = 0.12586487316764 | Time = 24s
Step 73000 | Order = 0.36407314901415277 | Time = 24s
Step 74000 | Order = 0.57398529870493242 | Time = 24s
Step 75000 | Order = 0.49875503716691832 | Time = 25s
