Simulation #55, Parameters: eta = 0.160282 | rho = 0.207730 | v0 = 0.449991s
Step 0 | Order = 0.013831762577022743 | Time = 0s
Step 1000 | Order = 0.32320228299218778 | Time = 0s
Step 2000 | Order = 0.65535597042280569 | Time = 0s
Step 3000 | Order = 0.68663100306664038 | Time = 0s
Step 4000 | Order = 0.66001402106771512 | Time = 1s
Step 5000 | Order = 0.64675450519566891 | Time = 1s
Step 6000 | Order = 0.633901870719636 | Time = 1s
Step 7000 | Order = 0.61713113193927926 | Time = 2s
Step 8000 | Order = 0.67330965575185409 | Time = 2s
Step 9000 | Order = 0.64809456984931924 | Time = 2s
Step 10000 | Order = 0.6236534498987093 | Time = 3s
Step 11000 | Order = 0.61991038134639431 | Time = 3s
Step 12000 | Order = 0.63750986045168889 | Time = 3s
Step 13000 | Order = 0.65502381707304014 | Time = 3s
Step 14000 | Order = 0.6349626864996355 | Time = 4s
Step 15000 | Order = 0.62360970982603869 | Time = 4s
Step 16000 | Order = 0.6562750432957718 | Time = 4s
Step 17000 | Order = 0.69436906083599315 | Time = 5s
Step 18000 | Order = 0.69345710324980669 | Time = 5s
Step 19000 | Order = 0.63976671228228454 | Time = 5s
Step 20000 | Order = 0.67418200409367213 | Time = 6s
Step 21000 | Order = 0.60553422766040876 | Time = 6s
Step 22000 | Order = 0.66767804830310773 | Time = 6s
Step 23000 | Order = 0.54513183828031142 | Time = 6s
Step 24000 | Order = 0.62583746235489124 | Time = 7s
Step 25000 | Order = 0.66385819614524888 | Time = 7s
Step 26000 | Order = 0.67822660033974147 | Time = 7s
Step 27000 | Order = 0.65131703270314101 | Time = 8s
Step 28000 | Order = 0.66186149006180939 | Time = 8s
Step 29000 | Order = 0.65354194435150914 | Time = 8s
Step 30000 | Order = 0.68364015207001905 | Time = 9s
Step 31000 | Order = 0.60506231484114315 | Time = 9s
Step 32000 | Order = 0.69457927500579453 | Time = 9s
Step 33000 | Order = 0.67175466865897515 | Time = 9s
Step 34000 | Order = 0.66768800245283044 | Time = 10s
Step 35000 | Order = 0.66789149071683673 | Time = 10s
Step 36000 | Order = 0.64965372413884281 | Time = 10s
Step 37000 | Order = 0.69256842410572017 | Time = 11s
Step 38000 | Order = 0.6952104685926096 | Time = 11s
Step 39000 | Order = 0.70183839356368971 | Time = 11s
Step 40000 | Order = 0.56967459399558873 | Time = 12s
Step 41000 | Order = 0.62986322399220929 | Time = 12s
Step 42000 | Order = 0.69385170966315779 | Time = 12s
