Simulation #122, Parameters: eta = 0.095840 | rho = 0.106524 | v0 = 0.0634708s
Step 0 | Order = 0.0050424433503867151 | Time = 0s
Step 1000 | Order = 0.084084775846926349 | Time = 0s
Step 2000 | Order = 0.225247450839313 | Time = 0s
Step 3000 | Order = 0.31286956464821569 | Time = 0s
Step 4000 | Order = 0.23735576486529875 | Time = 0s
Step 5000 | Order = 0.22812804825139091 | Time = 0s
Step 6000 | Order = 0.31284442316993277 | Time = 1s
Step 7000 | Order = 0.27095876606987723 | Time = 1s
Step 8000 | Order = 0.14537065689984599 | Time = 1s
Step 9000 | Order = 0.10071856781168453 | Time = 1s
Step 10000 | Order = 0.13346008350750277 | Time = 1s
Step 11000 | Order = 0.12088114680689604 | Time = 2s
Step 12000 | Order = 0.26780315433638091 | Time = 2s
Step 13000 | Order = 0.23996447729291884 | Time = 2s
Step 14000 | Order = 0.25665911561358451 | Time = 2s
Step 15000 | Order = 0.24814403768362361 | Time = 2s
Step 16000 | Order = 0.15583117798728546 | Time = 3s
Step 17000 | Order = 0.11698325481982674 | Time = 3s
Step 18000 | Order = 0.44472502168447098 | Time = 3s
Step 19000 | Order = 0.45180397044100323 | Time = 3s
Step 20000 | Order = 0.37045209921089001 | Time = 3s
Step 21000 | Order = 0.45106419468462045 | Time = 3s
Step 22000 | Order = 0.31221531165301897 | Time = 4s
Step 23000 | Order = 0.40607859128954887 | Time = 4s
Step 24000 | Order = 0.36115878822471842 | Time = 4s
Step 25000 | Order = 0.28995852360450247 | Time = 4s
Step 26000 | Order = 0.42599423153150345 | Time = 4s
Step 27000 | Order = 0.39798756969000876 | Time = 5s
Step 28000 | Order = 0.37823961152641666 | Time = 5s
Step 29000 | Order = 0.27930436293910499 | Time = 5s
Step 30000 | Order = 0.39082343925746799 | Time = 5s
Step 31000 | Order = 0.29172115693046902 | Time = 5s
Step 32000 | Order = 0.37646915975236211 | Time = 6s
Step 33000 | Order = 0.30399147157240441 | Time = 6s
Step 34000 | Order = 0.45472429913876988 | Time = 6s
Step 35000 | Order = 0.18302608120090907 | Time = 6s
Step 36000 | Order = 0.21931551133682681 | Time = 6s
Step 37000 | Order = 0.36935624537643247 | Time = 7s
Step 38000 | Order = 0.40281487990961473 | Time = 7s
Step 39000 | Order = 0.36232629533492255 | Time = 7s
Step 40000 | Order = 0.50134455443775605 | Time = 7s
Step 41000 | Order = 0.44474722629402252 | Time = 7s
Step 42000 | Order = 0.3393858094701569 | Time = 8s
Step 43000 | Order = 0.3167142562003129 | Time = 8s
Step 44000 | Order = 0.27174766955114432 | Time = 8s
Step 45000 | Order = 0.13085433610100355 | Time = 8s
Step 46000 | Order = 0.25511561587161341 | Time = 8s
Step 47000 | Order = 0.23265459695162274 | Time = 9s
Step 48000 | Order = 0.17000049087259458 | Time = 9s
Step 49000 | Order = 0.41761876407394505 | Time = 9s
Step 50000 | Order = 0.26312992577238331 | Time = 9s
Step 51000 | Order = 0.29681008264167585 | Time = 9s
Step 52000 | Order = 0.38624132476629952 | Time = 10s
Step 53000 | Order = 0.48300327940821447 | Time = 10s
Step 54000 | Order = 0.47023471313332871 | Time = 10s
Step 55000 | Order = 0.3832018278537675 | Time = 10s
Step 56000 | Order = 0.50137821453199582 | Time = 11s
Step 57000 | Order = 0.51365747399400064 | Time = 11s
Step 58000 | Order = 0.60421127624689153 | Time = 11s
Step 59000 | Order = 0.46734467124347107 | Time = 11s
Step 60000 | Order = 0.48799227056093009 | Time = 11s
Step 61000 | Order = 0.33468887633806638 | Time = 12s
Step 62000 | Order = 0.28937259505123269 | Time = 12s
Step 63000 | Order = 0.41597184302801848 | Time = 12s
Step 64000 | Order = 0.59255930403572976 | Time = 12s
Step 65000 | Order = 0.56210722183780892 | Time = 12s
Step 66000 | Order = 0.55971682762663222 | Time = 13s
Step 67000 | Order = 0.58122723078797189 | Time = 13s
Step 68000 | Order = 0.42592833011808823 | Time = 13s
Step 69000 | Order = 0.41965781250517753 | Time = 13s
Step 70000 | Order = 0.50134424293556068 | Time = 13s
Step 71000 | Order = 0.4850750343826058 | Time = 13s
Step 72000 | Order = 0.52676411571323112 | Time = 14s
Step 73000 | Order = 0.613365023800168 | Time = 14s
Step 74000 | Order = 0.48906372386156577 | Time = 14s
Step 75000 | Order = 0.35664352525303167 | Time = 14s
Step 76000 | Order = 0.32530211317743074 | Time = 14s
Step 77000 | Order = 0.24699216397858625 | Time = 15s
Step 78000 | Order = 0.2882399428339904 | Time = 15s
Step 79000 | Order = 0.33295635831864501 | Time = 15s
Step 80000 | Order = 0.36841113696748884 | Time = 15s
Step 81000 | Order = 0.32183327743384244 | Time = 15s
Step 82000 | Order = 0.35593313599640908 | Time = 16s
Step 83000 | Order = 0.28892532576493463 | Time = 16s
Step 84000 | Order = 0.46428023328134943 | Time = 16s
Step 85000 | Order = 0.52042807787393253 | Time = 16s
Step 86000 | Order = 0.58597645103070317 | Time = 16s
Step 87000 | Order = 0.5290089681622463 | Time = 17s
Step 88000 | Order = 0.42572483700747299 | Time = 17s
Step 89000 | Order = 0.20842734246998035 | Time = 17s
Step 90000 | Order = 0.17613599967299706 | Time = 17s
Step 91000 | Order = 0.19516084084998367 | Time = 17s
Step 92000 | Order = 0.34688569658192259 | Time = 17s
Step 93000 | Order = 0.46666289212219353 | Time = 18s
Step 94000 | Order = 0.42477877157353938 | Time = 18s
Step 95000 | Order = 0.25800433738329026 | Time = 18s
Step 96000 | Order = 0.31609607132612366 | Time = 18s
Step 97000 | Order = 0.20181684261110822 | Time = 18s
Step 98000 | Order = 0.31609683367219688 | Time = 19s
Step 99000 | Order = 0.36004999564567725 | Time = 19s
Step 100000 | Order = 0.31818989083858074 | Time = 19s
Step 101000 | Order = 0.42912238734167923 | Time = 19s
Step 102000 | Order = 0.48215590212393655 | Time = 19s
Step 103000 | Order = 0.44586682529752475 | Time = 20s
Step 104000 | Order = 0.50561731405033361 | Time = 20s
Step 105000 | Order = 0.59783627202128631 | Time = 20s
Step 106000 | Order = 0.47067171474623481 | Time = 20s
Step 107000 | Order = 0.48313688862133369 | Time = 20s
Step 108000 | Order = 0.45859894322703415 | Time = 21s
Step 109000 | Order = 0.35751381923844772 | Time = 21s
Step 110000 | Order = 0.40053457497617995 | Time = 21s
Step 111000 | Order = 0.24065663256413417 | Time = 21s
Step 112000 | Order = 0.27403199263005357 | Time = 21s
