Simulation #129, Parameters: eta = 0.491193 | rho = 0.328872 | v0 = 0.0800051s
Step 0 | Order = 0.0063371468570602163 | Time = 0s
Step 1000 | Order = 0.012549823506935731 | Time = 3s
Step 2000 | Order = 0.0080086407366876354 | Time = 4s
Step 3000 | Order = 0.020776934304262425 | Time = 5s
Step 4000 | Order = 0.029242974538742729 | Time = 5s
Step 5000 | Order = 0.01222896852383069 | Time = 5s
Step 6000 | Order = 0.023018790208025608 | Time = 6s
Step 7000 | Order = 0.0085777765509861478 | Time = 6s
Step 8000 | Order = 0.011365153430773399 | Time = 7s
Step 9000 | Order = 0.015902237539064723 | Time = 7s
Step 10000 | Order = 0.0054176793163636617 | Time = 7s
Step 11000 | Order = 0.0082301291447046277 | Time = 8s
Step 12000 | Order = 0.002710865991169912 | Time = 8s
Step 13000 | Order = 0.0081845815270828581 | Time = 9s
Step 14000 | Order = 0.02491100562162343 | Time = 9s
Step 15000 | Order = 0.024486078324626941 | Time = 9s
Step 16000 | Order = 0.004071754173836397 | Time = 10s
Step 17000 | Order = 0.020331711582193213 | Time = 10s
Step 18000 | Order = 0.0130953734746892 | Time = 11s
Step 19000 | Order = 0.008068180723548285 | Time = 11s
Step 20000 | Order = 0.025386277994726751 | Time = 11s
Step 21000 | Order = 0.012815053031454878 | Time = 12s
Step 22000 | Order = 0.016174988840508196 | Time = 12s
Step 23000 | Order = 0.020370883476206754 | Time = 13s
Step 24000 | Order = 0.02174081231289746 | Time = 13s
Step 25000 | Order = 0.010839218087026165 | Time = 13s
Step 26000 | Order = 0.032730267516035666 | Time = 14s
Step 27000 | Order = 0.02407934784676723 | Time = 14s
Step 28000 | Order = 0.026323473793659652 | Time = 15s
Step 29000 | Order = 0.0065340782118686906 | Time = 15s
Step 30000 | Order = 0.017304756498019762 | Time = 15s
Step 31000 | Order = 0.0033907917162300564 | Time = 16s
Step 32000 | Order = 0.010478397728476248 | Time = 16s
Step 33000 | Order = 0.027520930842046275 | Time = 17s
Step 34000 | Order = 0.0020784446844627374 | Time = 17s
Step 35000 | Order = 0.028832180407075556 | Time = 17s
Step 36000 | Order = 0.021266495884298485 | Time = 18s
Step 37000 | Order = 0.022725575399671342 | Time = 18s
Step 38000 | Order = 0.012008681159132019 | Time = 19s
Step 39000 | Order = 0.0083722986430364091 | Time = 19s
Step 40000 | Order = 0.012767232754573067 | Time = 19s
Step 41000 | Order = 0.0091107814027117564 | Time = 20s
Step 42000 | Order = 0.017744912242485679 | Time = 20s
Step 43000 | Order = 0.029194004565471388 | Time = 21s
Step 44000 | Order = 0.017131439738657512 | Time = 21s
Step 45000 | Order = 0.022630161861432779 | Time = 21s
Step 46000 | Order = 0.016926563570958297 | Time = 22s
Step 47000 | Order = 0.022603241334182664 | Time = 22s
Step 48000 | Order = 0.023468211922515692 | Time = 23s
Step 49000 | Order = 0.017527951632353732 | Time = 23s
Step 50000 | Order = 0.014620608538506361 | Time = 23s
Step 51000 | Order = 0.026304240654635106 | Time = 24s
Step 52000 | Order = 0.019107546962316757 | Time = 24s
