
#0:
   ##0 - order: 0.011, binder: 0.361
   ##1 - order: 0.012, binder: 0.349
   ##2 - order: 0.013, binder: 0.383
   ##3 - order: 0.011, binder: 0.316
   ##4 - order: 0.01, binder: 0.357
   Final - Mean Order: 0.011, Mean Binder: 0.353

#1:
   ##0 - order: 1.0, binder: 0.667
   ##1 - order: 1.0, binder: 0.667
   ##2 - order: 1.0, binder: 0.667
   ##3 - order: 0.999, binder: 0.667
   ##4 - order: 1.0, binder: 0.667
   Final - Mean Order: 1.0, Mean Binder: 0.667

#2:
   ##0 - order: 0.01, binder: 0.385
   ##1 - order: 0.01, binder: 0.276
   ##2 - order: 0.01, binder: 0.35
   ##3 - order: 0.009, binder: 0.31
   ##4 - order: 0.009, binder: 0.347
   Final - Mean Order: 0.009, Mean Binder: 0.334

#3:
   ##0 - order: 0.023, binder: 0.34
   ##1 - order: 0.023, binder: 0.277
   ##2 - order: 0.024, binder: 0.304
   ##3 - order: 0.023, binder: 0.329
   ##4 - order: 0.023, binder: 0.352
   Final - Mean Order: 0.023, Mean Binder: 0.32

#4:
   ##0 - order: 0.009, binder: 0.32
   ##1 - order: 0.009, binder: 0.28
   ##2 - order: 0.009, binder: 0.364
   ##3 - order: 0.009, binder: 0.372
   ##4 - order: 0.009, binder: 0.254
   Final - Mean Order: 0.009, Mean Binder: 0.318

#5:
   ##0 - order: 0.015, binder: 0.267
   ##1 - order: 0.015, binder: 0.297
   ##2 - order: 0.016, binder: 0.383
   ##3 - order: 0.016, binder: 0.329
   ##4 - order: 0.014, binder: 0.355
   Final - Mean Order: 0.015, Mean Binder: 0.326

#6:
   ##0 - order: 0.469, binder: 0.598
   ##1 - order: 0.43, binder: 0.583
   ##2 - order: 0.539, binder: 0.633
   ##3 - order: 0.452, binder: 0.594
   ##4 - order: 0.538, binder: 0.621
   Final - Mean Order: 0.486, Mean Binder: 0.606

#7:
   ##0 - order: 0.009, binder: 0.349
   ##1 - order: 0.01, binder: 0.344
   ##2 - order: 0.01, binder: 0.368
   ##3 - order: 0.01, binder: 0.333
   ##4 - order: 0.01, binder: 0.366
   Final - Mean Order: 0.01, Mean Binder: 0.352

#8:
   ##0 - order: 0.017, binder: 0.319
   ##1 - order: 0.017, binder: 0.364
   ##2 - order: 0.016, binder: 0.295
   ##3 - order: 0.016, binder: 0.368
   ##4 - order: 0.014, binder: 0.403
   Final - Mean Order: 0.016, Mean Binder: 0.35

#9:
   ##0 - order: 0.383, binder: 0.62
   ##1 - order: 0.42, binder: 0.658
   ##2 - order: 0.42, binder: 0.659
   ##3 - order: 0.402, binder: 0.644
   ##4 - order: 0.415, binder: 0.654
   Final - Mean Order: 0.408, Mean Binder: 0.647

#10:
   ##0 - order: 0.998, binder: 0.667
   ##1 - order: 0.998, binder: 0.667
   ##2 - order: 0.997, binder: 0.667
   ##3 - order: 0.997, binder: 0.667
   ##4 - order: 0.997, binder: 0.667
   Final - Mean Order: 0.997, Mean Binder: 0.667

#11:
   ##0 - order: 0.035, binder: 0.268
   ##1 - order: 0.036, binder: 0.372
   ##2 - order: 0.034, binder: 0.207
   ##3 - order: 0.034, binder: 0.324
   ##4 - order: 0.035, binder: 0.381
   Final - Mean Order: 0.035, Mean Binder: 0.311

#12:
   ##0 - order: 0.025, binder: 0.346
   ##1 - order: 0.023, binder: 0.387
   ##2 - order: 0.024, binder: 0.297
   ##3 - order: 0.023, binder: 0.363
   ##4 - order: 0.026, binder: 0.376
   Final - Mean Order: 0.024, Mean Binder: 0.354

#13:
   ##0 - order: 0.009, binder: 0.309
   ##1 - order: 0.009, binder: 0.299
   ##2 - order: 0.009, binder: 0.294
   ##3 - order: 0.009, binder: 0.232
   ##4 - order: 0.01, binder: 0.327
   Final - Mean Order: 0.009, Mean Binder: 0.292

#14:
   ##0 - order: 0.009, binder: 0.325
   ##1 - order: 0.009, binder: 0.415
   ##2 - order: 0.009, binder: 0.387
   ##3 - order: 0.009, binder: 0.303
   ##4 - order: 0.009, binder: 0.378
   Final - Mean Order: 0.009, Mean Binder: 0.361

#15:
   ##0 - order: 0.008, binder: 0.312
   ##1 - order: 0.008, binder: 0.253
   ##2 - order: 0.008, binder: 0.201
   ##3 - order: 0.008, binder: 0.309
   ##4 - order: 0.008, binder: 0.322
   Final - Mean Order: 0.008, Mean Binder: 0.279

#16:
   ##0 - order: 0.953, binder: 0.667
   ##1 - order: 0.953, binder: 0.667
   ##2 - order: 0.953, binder: 0.667
   ##3 - order: 0.953, binder: 0.667
   ##4 - order: 0.953, binder: 0.667
   Final - Mean Order: 0.953, Mean Binder: 0.667

#17:
   ##0 - order: 0.021, binder: 0.28
   ##1 - order: 0.021, binder: 0.287
   ##2 - order: 0.021, binder: 0.429
   ##3 - order: 0.022, binder: 0.286
   ##4 - order: 0.021, binder: 0.367
   Final - Mean Order: 0.021, Mean Binder: 0.33

#18:
   ##0 - order: 0.094, binder: 0.397
   ##1 - order: 0.1, binder: 0.336
   ##2 - order: 0.101, binder: 0.361
   ##3 - order: 0.102, binder: 0.412
   ##4 - order: 0.1, binder: 0.392
   Final - Mean Order: 0.1, Mean Binder: 0.38

#19:
   ##0 - order: 0.938, binder: 0.667
   ##1 - order: 0.938, binder: 0.667
   ##2 - order: 0.937, binder: 0.667
   ##3 - order: 0.937, binder: 0.667
   ##4 - order: 0.938, binder: 0.667
   Final - Mean Order: 0.938, Mean Binder: 0.667

#20:
   ##0 - order: 0.861, binder: 0.666
   ##1 - order: 0.863, binder: 0.666
   ##2 - order: 0.861, binder: 0.666
   ##3 - order: 0.861, binder: 0.666
   ##4 - order: 0.861, binder: 0.666
   Final - Mean Order: 0.861, Mean Binder: 0.666

#21:
   ##0 - order: 0.008, binder: 0.356
   ##1 - order: 0.007, binder: 0.302
   ##2 - order: 0.007, binder: 0.351
   ##3 - order: 0.007, binder: 0.299
   ##4 - order: 0.007, binder: 0.417
   Final - Mean Order: 0.007, Mean Binder: 0.345

#22:
   ##0 - order: 0.005, binder: 0.379
   ##1 - order: 0.005, binder: 0.309
   ##2 - order: 0.005, binder: 0.359
   ##3 - order: 0.005, binder: 0.405
   ##4 - order: 0.005, binder: 0.313
   Final - Mean Order: 0.005, Mean Binder: 0.353

#23:
   ##0 - order: 0.025, binder: 0.351
   ##1 - order: 0.025, binder: 0.336
   ##2 - order: 0.026, binder: 0.316
   ##3 - order: 0.025, binder: 0.34
   ##4 - order: 0.026, binder: 0.215
   Final - Mean Order: 0.025, Mean Binder: 0.312

#24:
   ##0 - order: 0.011, binder: 0.361
   ##1 - order: 0.011, binder: 0.268
   ##2 - order: 0.011, binder: 0.301
   ##3 - order: 0.011, binder: 0.355
   ##4 - order: 0.011, binder: 0.311
   Final - Mean Order: 0.011, Mean Binder: 0.319

#31:
   ##0 - order: 0.022, binder: 0.302
   ##1 - order: 0.021, binder: 0.398
   ##2 - order: 0.022, binder: 0.345
   ##3 - order: 0.021, binder: 0.336
   ##4 - order: 0.022, binder: 0.3
   Final - Mean Order: 0.022, Mean Binder: 0.336

#32:
   ##0 - order: 0.982, binder: 0.667
   ##1 - order: 0.982, binder: 0.667
   ##2 - order: 0.982, binder: 0.667
   ##3 - order: 0.982, binder: 0.667
   ##4 - order: 0.982, binder: 0.667
   Final - Mean Order: 0.982, Mean Binder: 0.667

#33:
   ##0 - order: 0.034, binder: 0.246
   ##1 - order: 0.035, binder: 0.371
   ##2 - order: 0.036, binder: 0.35
   ##3 - order: 0.035, binder: 0.362
   ##4 - order: 0.036, binder: 0.342
   Final - Mean Order: 0.035, Mean Binder: 0.334

#34:
   ##0 - order: 0.387, binder: 0.553
   ##1 - order: 0.371, binder: 0.523
   ##2 - order: 0.364, binder: 0.547
   ##3 - order: 0.362, binder: 0.563
   ##4 - order: 0.362, binder: 0.529
   Final - Mean Order: 0.369, Mean Binder: 0.543

#35:
   ##0 - order: 0.018, binder: 0.404
   ##1 - order: 0.016, binder: 0.269
   ##2 - order: 0.018, binder: 0.375
   ##3 - order: 0.018, binder: 0.367
   ##4 - order: 0.017, binder: 0.326
   Final - Mean Order: 0.017, Mean Binder: 0.348

#36:
   ##0 - order: 0.978, binder: 0.667
   ##1 - order: 0.983, binder: 0.667
   ##2 - order: 0.974, binder: 0.667
   ##3 - order: 0.974, binder: 0.667
   ##4 - order: 0.973, binder: 0.667
   Final - Mean Order: 0.977, Mean Binder: 0.667

#37:
   ##0 - order: 0.694, binder: 0.66
   ##1 - order: 0.679, binder: 0.657
   ##2 - order: 0.69, binder: 0.659
   ##3 - order: 0.68, binder: 0.657
   ##4 - order: 0.675, binder: 0.652
   Final - Mean Order: 0.683, Mean Binder: 0.657

#38:
   ##0 - order: 0.896, binder: 0.666
   ##1 - order: 0.897, binder: 0.666
   ##2 - order: 0.9, binder: 0.666
   ##3 - order: 0.898, binder: 0.666
   ##4 - order: 0.9, binder: 0.666
   Final - Mean Order: 0.898, Mean Binder: 0.666

#39:
   ##0 - order: 0.023, binder: 0.345
   ##1 - order: 0.023, binder: 0.324
   ##2 - order: 0.023, binder: 0.368
   ##3 - order: 0.023, binder: 0.394
   ##4 - order: 0.021, binder: 0.347
   Final - Mean Order: 0.023, Mean Binder: 0.356

#40:
   ##0 - order: 0.02, binder: 0.33
   ##1 - order: 0.02, binder: 0.33
   ##2 - order: 0.02, binder: 0.327
   ##3 - order: 0.02, binder: 0.363
   ##4 - order: 0.02, binder: 0.323
   Final - Mean Order: 0.02, Mean Binder: 0.334

#41:
   ##0 - order: 0.007, binder: 0.321
   ##1 - order: 0.007, binder: 0.286
   ##2 - order: 0.008, binder: 0.328
   ##3 - order: 0.007, binder: 0.326
   ##4 - order: 0.007, binder: 0.392
   Final - Mean Order: 0.007, Mean Binder: 0.33

#42:
   ##0 - order: 0.01, binder: 0.378
   ##1 - order: 0.01, binder: 0.38
   ##2 - order: 0.01, binder: 0.395
   ##3 - order: 0.01, binder: 0.347
   ##4 - order: 0.01, binder: 0.286
   Final - Mean Order: 0.01, Mean Binder: 0.357

#43:
   ##0 - order: 0.024, binder: 0.331
   ##1 - order: 0.023, binder: 0.351
   ##2 - order: 0.023, binder: 0.308
   ##3 - order: 0.024, binder: 0.334
   ##4 - order: 0.024, binder: 0.348
   Final - Mean Order: 0.024, Mean Binder: 0.334

#44:
   ##0 - order: 0.025, binder: 0.347
   ##1 - order: 0.025, binder: 0.36
   ##2 - order: 0.026, binder: 0.383
   ##3 - order: 0.023, binder: 0.384
   ##4 - order: 0.024, binder: 0.199
   Final - Mean Order: 0.024, Mean Binder: 0.335

#45:
   ##0 - order: 0.808, binder: 0.666
   ##1 - order: 0.807, binder: 0.666
   ##2 - order: 0.807, binder: 0.666
   ##3 - order: 0.809, binder: 0.666
   ##4 - order: 0.803, binder: 0.666
   Final - Mean Order: 0.807, Mean Binder: 0.666

#46:
   ##0 - order: 0.011, binder: 0.299
   ##1 - order: 0.012, binder: 0.319
   ##2 - order: 0.011, binder: 0.284
   ##3 - order: 0.011, binder: 0.265
   ##4 - order: 0.012, binder: 0.331
   Final - Mean Order: 0.011, Mean Binder: 0.3

#47:
   ##0 - order: 0.02, binder: 0.429
   ##1 - order: 0.018, binder: 0.38
   ##2 - order: 0.019, binder: 0.344
   ##3 - order: 0.018, binder: 0.343
   ##4 - order: 0.019, binder: 0.269
   Final - Mean Order: 0.019, Mean Binder: 0.353

#48:
   ##0 - order: 0.034, binder: 0.328
   ##1 - order: 0.031, binder: 0.222
   ##2 - order: 0.034, binder: 0.39
   ##3 - order: 0.032, binder: 0.332
   ##4 - order: 0.034, binder: 0.426
   Final - Mean Order: 0.033, Mean Binder: 0.34

#49:
   ##0 - order: 0.035, binder: 0.292
   ##1 - order: 0.037, binder: 0.345
   ##2 - order: 0.035, binder: 0.399
   ##3 - order: 0.037, binder: 0.337
   ##4 - order: 0.037, binder: 0.278
   Final - Mean Order: 0.036, Mean Binder: 0.33

#50:
   ##0 - order: 0.856, binder: 0.667
   ##1 - order: 0.855, binder: 0.667
   ##2 - order: 0.855, binder: 0.667
   ##3 - order: 0.856, binder: 0.666
   ##4 - order: 0.856, binder: 0.667
   Final - Mean Order: 0.856, Mean Binder: 0.667

#51:
   ##0 - order: 0.795, binder: 0.666
   ##1 - order: 0.793, binder: 0.666
   ##2 - order: 0.797, binder: 0.666
   ##3 - order: 0.795, binder: 0.666
   ##4 - order: 0.793, binder: 0.666
   Final - Mean Order: 0.795, Mean Binder: 0.666

#52:
   ##0 - order: 0.011, binder: 0.395
   ##1 - order: 0.011, binder: 0.396
   ##2 - order: 0.01, binder: 0.244
   ##3 - order: 0.01, binder: 0.306
   ##4 - order: 0.01, binder: 0.288
   Final - Mean Order: 0.01, Mean Binder: 0.326

#53:
   ##0 - order: 0.073, binder: 0.291
   ##1 - order: 0.085, binder: 0.321
   ##2 - order: 0.081, binder: 0.316
   ##3 - order: 0.082, binder: 0.311
   ##4 - order: 0.079, binder: 0.368
   Final - Mean Order: 0.08, Mean Binder: 0.321

#54:
   ##0 - order: 0.014, binder: 0.347
   ##1 - order: 0.014, binder: 0.345
   ##2 - order: 0.014, binder: 0.318
   ##3 - order: 0.014, binder: 0.338
   ##4 - order: 0.013, binder: 0.245
