Simulation #5, Parameters: eta = 0.824178 | rho = 0.203223 | v0 = 0.0105289s
Step 0 | Order = 0.020697197006755142 | Time = 0s
Step 1000 | Order = 0.019469137009091336 | Time = 0s
Step 2000 | Order = 0.0025614900754933564 | Time = 0s
Step 3000 | Order = 0.002988245100367261 | Time = 1s
Step 4000 | Order = 0.02066927869222494 | Time = 1s
Step 5000 | Order = 0.016658760765013974 | Time = 1s
Step 6000 | Order = 0.011497781232352965 | Time = 1s
Step 7000 | Order = 0.014352798631449429 | Time = 1s
Step 8000 | Order = 0.014575215392275831 | Time = 2s
Step 9000 | Order = 0.0015479345298871818 | Time = 2s
Step 10000 | Order = 0.0089167225154327834 | Time = 2s
Step 11000 | Order = 0.016294348034427808 | Time = 2s
Step 12000 | Order = 0.017972065382539114 | Time = 3s
Step 13000 | Order = 0.023399650996731799 | Time = 3s
Step 14000 | Order = 0.005303422313251184 | Time = 3s
Step 15000 | Order = 0.021904482305663012 | Time = 3s
Step 16000 | Order = 0.0077389119129408889 | Time = 3s
Step 17000 | Order = 0.018347304466343438 | Time = 4s
Step 18000 | Order = 0.011881895686219137 | Time = 4s
Step 19000 | Order = 0.0077646954173875675 | Time = 4s
Step 20000 | Order = 0.025472667929083634 | Time = 4s
Step 21000 | Order = 0.016535618867944725 | Time = 5s
Step 22000 | Order = 0.027322552082595503 | Time = 5s
Step 23000 | Order = 0.011213899830806416 | Time = 5s
Step 24000 | Order = 0.012194688592543411 | Time = 6s
Step 25000 | Order = 0.012438222917652082 | Time = 6s
Step 26000 | Order = 0.029168786659113988 | Time = 7s
Step 27000 | Order = 0.0084815665576853591 | Time = 7s
Step 28000 | Order = 0.0018464791467856351 | Time = 7s
Step 29000 | Order = 0.015598994268062043 | Time = 7s
Step 30000 | Order = 0.025825955828746631 | Time = 7s
Step 31000 | Order = 0.0052202829707060951 | Time = 8s
Step 32000 | Order = 0.022108653783399532 | Time = 8s
Step 33000 | Order = 0.006027237338062888 | Time = 8s
Step 34000 | Order = 0.0078721614076873395 | Time = 8s
Step 35000 | Order = 0.011908122662093059 | Time = 9s
Step 36000 | Order = 0.023979172570185288 | Time = 9s
Step 37000 | Order = 0.0094689339391993178 | Time = 9s
Step 38000 | Order = 0.017574859689020179 | Time = 9s
Step 39000 | Order = 0.0026272528677984759 | Time = 9s
Step 40000 | Order = 0.0054994934944801142 | Time = 10s
Step 41000 | Order = 0.012102454781725639 | Time = 10s
Step 42000 | Order = 0.0019805207857712896 | Time = 10s
Step 43000 | Order = 0.015185235640366659 | Time = 10s
Step 44000 | Order = 0.017890915218293529 | Time = 11s
Step 45000 | Order = 0.011966930223563346 | Time = 11s
Step 46000 | Order = 0.0068637295968029602 | Time = 11s
Step 47000 | Order = 0.0051994272216644702 | Time = 11s
Step 48000 | Order = 0.015968499245319075 | Time = 12s
Step 49000 | Order = 0.018011862584765562 | Time = 12s
Step 50000 | Order = 0.0093487476658854433 | Time = 12s
Step 51000 | Order = 0.024527877744353156 | Time = 12s
Step 52000 | Order = 0.017788515821640882 | Time = 13s
Step 53000 | Order = 0.028403473001568473 | Time = 13s
Step 54000 | Order = 0.011496102029961515 | Time = 13s
Step 55000 | Order = 0.0068843237019776422 | Time = 13s
Step 56000 | Order = 0.017977928012086499 | Time = 14s
Step 57000 | Order = 0.027377712176912077 | Time = 14s
Step 58000 | Order = 0.004316474077380731 | Time = 14s
Step 59000 | Order = 0.0074431403927010756 | Time = 14s
Step 60000 | Order = 0.00283871848058321 | Time = 15s
Step 61000 | Order = 0.0097648674280868576 | Time = 15s
Step 62000 | Order = 0.023084680554283046 | Time = 15s
Step 63000 | Order = 0.011141700921877759 | Time = 15s
Step 64000 | Order = 0.024574821974212683 | Time = 15s
Step 65000 | Order = 0.01231919457580522 | Time = 16s
Step 66000 | Order = 0.0064436358463083147 | Time = 16s
Step 67000 | Order = 0.011546873129819607 | Time = 16s
Step 68000 | Order = 0.010723031857226745 | Time = 16s
Step 69000 | Order = 0.011017742760753591 | Time = 17s
Step 70000 | Order = 0.014039299547253603 | Time = 17s
Step 71000 | Order = 0.003154575863568054 | Time = 17s
Step 72000 | Order = 0.010020292592586378 | Time = 17s
Step 73000 | Order = 0.0057920655614592809 | Time = 18s
Step 74000 | Order = 0.017066577210884802 | Time = 18s
Step 75000 | Order = 0.0098261451252824802 | Time = 18s
Step 76000 | Order = 0.010995861037208352 | Time = 18s
Step 77000 | Order = 0.01853843409675272 | Time = 19s
Step 78000 | Order = 0.021481355304555933 | Time = 19s
Step 79000 | Order = 0.0040023790591816851 | Time = 19s
Step 80000 | Order = 0.017957686931582381 | Time = 19s
Step 81000 | Order = 0.021814722679175353 | Time = 20s
Step 82000 | Order = 0.030051763941892514 | Time = 20s
Step 83000 | Order = 0.015658597173977742 | Time = 20s
Step 84000 | Order = 0.011454602323990965 | Time = 20s
Step 85000 | Order = 0.014691827373969924 | Time = 20s
Step 86000 | Order = 0.0062985656907455769 | Time = 21s
Step 87000 | Order = 0.0068039834307315082 | Time = 21s
Step 88000 | Order = 0.033434150455135335 | Time = 21s
Step 89000 | Order = 0.0212709831748208 | Time = 21s
Step 90000 | Order = 0.016350199496819248 | Time = 22s
Step 91000 | Order = 0.012676483564182063 | Time = 22s
Step 92000 | Order = 0.019487191142691915 | Time = 22s
Step 93000 | Order = 0.0069726026906357721 | Time = 22s
Step 94000 | Order = 0.013496985151990165 | Time = 23s
Step 95000 | Order = 0.019968836334560876 | Time = 23s
Step 96000 | Order = 0.013152684957185948 | Time = 23s
Step 97000 | Order = 0.019346560584404024 | Time = 23s
Step 98000 | Order = 0.023501017198023302 | Time = 24s
