Simulation #23, Parameters: eta = 0.434274 | rho = 0.112604 | v0 = 0.0565273s
Step 0 | Order = 0.028249082663527401 | Time = 0s
Step 1000 | Order = 0.02612329208439506 | Time = 0s
Step 2000 | Order = 0.033452026920022013 | Time = 0s
Step 3000 | Order = 0.0030177445431161624 | Time = 0s
Step 4000 | Order = 0.01133875698086022 | Time = 0s
Step 5000 | Order = 0.0040447202964708643 | Time = 0s
Step 6000 | Order = 0.037471217683984058 | Time = 0s
Step 7000 | Order = 0.040709860330276661 | Time = 1s
Step 8000 | Order = 0.017251915063871068 | Time = 1s
Step 9000 | Order = 0.032156898070742297 | Time = 1s
Step 10000 | Order = 0.0073190124696368708 | Time = 1s
Step 11000 | Order = 0.023617926540551011 | Time = 1s
Step 12000 | Order = 0.023947720846743865 | Time = 1s
Step 13000 | Order = 0.019488471151794692 | Time = 1s
Step 14000 | Order = 0.029354189071567928 | Time = 1s
Step 15000 | Order = 0.046887016103437679 | Time = 2s
Step 16000 | Order = 0.017192267083834294 | Time = 2s
Step 17000 | Order = 0.0021391690974508436 | Time = 2s
Step 18000 | Order = 0.0077566643550529201 | Time = 2s
Step 19000 | Order = 0.036723582335192857 | Time = 2s
Step 20000 | Order = 0.016704795305651655 | Time = 2s
Step 21000 | Order = 0.025985279076497041 | Time = 3s
Step 22000 | Order = 0.029582820756519759 | Time = 3s
Step 23000 | Order = 0.039718606199413253 | Time = 3s
Step 24000 | Order = 0.012734766066658411 | Time = 3s
Step 25000 | Order = 0.020805249514907597 | Time = 3s
Step 26000 | Order = 0.025469974093173212 | Time = 3s
Step 27000 | Order = 0.036049528485888674 | Time = 3s
Step 28000 | Order = 0.032947001632047591 | Time = 3s
Step 29000 | Order = 0.053547901688047003 | Time = 4s
Step 30000 | Order = 0.010780950295157458 | Time = 4s
Step 31000 | Order = 0.07462564611581024 | Time = 4s
Step 32000 | Order = 0.014695300077746326 | Time = 4s
Step 33000 | Order = 0.039741411112333695 | Time = 4s
Step 34000 | Order = 0.045444258490982742 | Time = 4s
Step 35000 | Order = 0.025745635808988421 | Time = 4s
Step 36000 | Order = 0.015197598975525467 | Time = 4s
Step 37000 | Order = 0.0053482889174225725 | Time = 5s
Step 38000 | Order = 0.046597363586124513 | Time = 5s
Step 39000 | Order = 0.053928561874575093 | Time = 5s
Step 40000 | Order = 0.044836138134226537 | Time = 5s
Step 41000 | Order = 0.026176179975184254 | Time = 5s
Step 42000 | Order = 0.0276238244764105 | Time = 5s
Step 43000 | Order = 0.024541683852480647 | Time = 5s
Step 44000 | Order = 0.020817445443144025 | Time = 5s
Step 45000 | Order = 0.01366746153460878 | Time = 6s
Step 46000 | Order = 0.02172699553052871 | Time = 6s
Step 47000 | Order = 0.023705547887128076 | Time = 6s
Step 48000 | Order = 0.020294704191920931 | Time = 6s
Step 49000 | Order = 0.043533009202040659 | Time = 6s
Step 50000 | Order = 0.014263735892861389 | Time = 6s
Step 51000 | Order = 0.01113747554420947 | Time = 7s
Step 52000 | Order = 0.010637799866682425 | Time = 7s
Step 53000 | Order = 0.061206199476936972 | Time = 7s
Step 54000 | Order = 0.012164487888828329 | Time = 7s
Step 55000 | Order = 0.03382752248620232 | Time = 7s
Step 56000 | Order = 0.019219390917954701 | Time = 7s
Step 57000 | Order = 0.032022672071922255 | Time = 7s
Step 58000 | Order = 0.013920373029073256 | Time = 7s
Step 59000 | Order = 0.026702958405491084 | Time = 8s
Step 60000 | Order = 0.038696339811852984 | Time = 8s
Step 61000 | Order = 0.019311145390478911 | Time = 8s
Step 62000 | Order = 0.027134221522572975 | Time = 8s
Step 63000 | Order = 0.016105654937718209 | Time = 8s
Step 64000 | Order = 0.022492935394924779 | Time = 8s
Step 65000 | Order = 0.058864056081353845 | Time = 8s
Step 66000 | Order = 0.0093343034871156815 | Time = 9s
Step 67000 | Order = 0.032603505592011119 | Time = 9s
Step 68000 | Order = 0.027724125077737506 | Time = 9s
Step 69000 | Order = 0.01558905292120975 | Time = 9s
Step 70000 | Order = 0.009333324055334314 | Time = 9s
Step 71000 | Order = 0.010398382574954434 | Time = 9s
Step 72000 | Order = 0.049511858666123537 | Time = 9s
Step 73000 | Order = 0.013423678659200454 | Time = 10s
Step 74000 | Order = 0.0071397041242061161 | Time = 10s
Step 75000 | Order = 0.037906564246947987 | Time = 10s
Step 76000 | Order = 0.023110796501776804 | Time = 10s
Step 77000 | Order = 0.054739357195272127 | Time = 10s
Step 78000 | Order = 0.010273678953341272 | Time = 10s
Step 79000 | Order = 0.036558676827106881 | Time = 10s
Step 80000 | Order = 0.03484538614428756 | Time = 10s
Step 81000 | Order = 0.026942008946280613 | Time = 11s
Step 82000 | Order = 0.021926094588130118 | Time = 11s
Step 83000 | Order = 0.016114787953354637 | Time = 11s
Step 84000 | Order = 0.027386029249662536 | Time = 11s
Step 85000 | Order = 0.019967908050786038 | Time = 11s
Step 86000 | Order = 0.013695379150225472 | Time = 11s
Step 87000 | Order = 0.015367626689994593 | Time = 11s
Step 88000 | Order = 0.0032335960909280329 | Time = 11s
Step 89000 | Order = 0.025697296409164322 | Time = 12s
Step 90000 | Order = 0.0087048342744487778 | Time = 12s
Step 91000 | Order = 0.034820622626918596 | Time = 12s
Step 92000 | Order = 0.049368398644124761 | Time = 12s
Step 93000 | Order = 0.021508503065210998 | Time = 12s
Step 94000 | Order = 0.032668981930140693 | Time = 12s
Step 95000 | Order = 0.011149721482770677 | Time = 12s
Step 96000 | Order = 0.025610021512833245 | Time = 13s
Step 97000 | Order = 0.031262832675915855 | Time = 13s
Step 98000 | Order = 0.012940949141335728 | Time = 13s
