Simulation #23, Parameters: eta = 0.434274 | rho = 0.112604 | v0 = 0.0565273s
Step 0 | Order = 0.013521992563313023 | Time = 0s
Step 1000 | Order = 0.027085092571775535 | Time = 0s
Step 2000 | Order = 0.0029985170084622409 | Time = 0s
Step 3000 | Order = 0.016790182951219645 | Time = 0s
Step 4000 | Order = 0.013324509018116333 | Time = 0s
Step 5000 | Order = 0.027850957199977801 | Time = 1s
Step 6000 | Order = 0.025986286350760689 | Time = 1s
Step 7000 | Order = 0.0086043891550397125 | Time = 1s
Step 8000 | Order = 0.048060057064878807 | Time = 1s
Step 9000 | Order = 0.028611559481720675 | Time = 1s
Step 10000 | Order = 0.03986592284990436 | Time = 1s
Step 11000 | Order = 0.037887034468977426 | Time = 1s
Step 12000 | Order = 0.014637009430619356 | Time = 2s
Step 13000 | Order = 0.03734443419586967 | Time = 2s
Step 14000 | Order = 0.027264830007046752 | Time = 2s
Step 15000 | Order = 0.036272553700942851 | Time = 2s
Step 16000 | Order = 0.025246085221644076 | Time = 2s
Step 17000 | Order = 0.016214739776848289 | Time = 2s
Step 18000 | Order = 0.017138084183343345 | Time = 2s
Step 19000 | Order = 0.047974516832922968 | Time = 2s
Step 20000 | Order = 0.021874839268604677 | Time = 3s
Step 21000 | Order = 0.0051613728125956791 | Time = 3s
Step 22000 | Order = 0.034327940902687849 | Time = 3s
Step 23000 | Order = 0.024217932653230037 | Time = 3s
Step 24000 | Order = 0.0457986817096247 | Time = 3s
Step 25000 | Order = 0.022992294777324222 | Time = 3s
Step 26000 | Order = 0.0055037302764246159 | Time = 3s
Step 27000 | Order = 0.021619609389902188 | Time = 3s
Step 28000 | Order = 0.018611825236245078 | Time = 4s
Step 29000 | Order = 0.025153038340307163 | Time = 4s
Step 30000 | Order = 0.027080020017015281 | Time = 4s
Step 31000 | Order = 0.028657647216751621 | Time = 4s
Step 32000 | Order = 0.028322612195309786 | Time = 4s
Step 33000 | Order = 0.012514469308017171 | Time = 4s
Step 34000 | Order = 0.045493452713765863 | Time = 5s
Step 35000 | Order = 0.016094917122837799 | Time = 5s
Step 36000 | Order = 0.016742902739401832 | Time = 5s
Step 37000 | Order = 0.042972623117904972 | Time = 5s
Step 38000 | Order = 0.040598663320882911 | Time = 5s
Step 39000 | Order = 0.010983666754664242 | Time = 5s
Step 40000 | Order = 0.012418891842970004 | Time = 5s
Step 41000 | Order = 0.0050818046598501906 | Time = 6s
Step 42000 | Order = 0.0090237239566347219 | Time = 6s
Step 43000 | Order = 0.015743790946322875 | Time = 6s
Step 44000 | Order = 0.025605531964482287 | Time = 6s
Step 45000 | Order = 0.037525921689663309 | Time = 6s
Step 46000 | Order = 0.031863868905078321 | Time = 6s
Step 47000 | Order = 0.041123308895129232 | Time = 6s
Step 48000 | Order = 0.042097117808178562 | Time = 6s
Step 49000 | Order = 0.020750755669158745 | Time = 7s
Step 50000 | Order = 0.013173514675587847 | Time = 7s
Step 51000 | Order = 0.010951381922463281 | Time = 11s
Step 52000 | Order = 0.050076333189210946 | Time = 11s
Step 53000 | Order = 0.029935009309093263 | Time = 11s
Step 54000 | Order = 0.044258412075083124 | Time = 11s
Step 55000 | Order = 0.040686848658333781 | Time = 11s
Step 56000 | Order = 0.036226135339196948 | Time = 11s
Step 57000 | Order = 0.020524930247672626 | Time = 11s
