Simulation #23, Parameters: eta = 0.434274 | rho = 0.112604 | v0 = 0.0565273s
Step 0 | Order = 0.017742915093452719 | Time = 0s
Step 1000 | Order = 0.010697368436850128 | Time = 0s
Step 2000 | Order = 0.021835184774075443 | Time = 0s
Step 3000 | Order = 0.037995432755176334 | Time = 0s
Step 4000 | Order = 0.018809946422996042 | Time = 1s
Step 5000 | Order = 0.034310394796772593 | Time = 1s
Step 6000 | Order = 0.020496440150645726 | Time = 1s
Step 7000 | Order = 0.024849972950808593 | Time = 1s
Step 8000 | Order = 0.026855453564220828 | Time = 1s
Step 9000 | Order = 0.013950931278115284 | Time = 2s
Step 10000 | Order = 0.011936828050802994 | Time = 2s
Step 11000 | Order = 0.060784301789846111 | Time = 2s
Step 12000 | Order = 0.030683391367816903 | Time = 2s
Step 13000 | Order = 0.012501801604339613 | Time = 3s
Step 14000 | Order = 0.026090333906136964 | Time = 3s
Step 15000 | Order = 0.037879984560565738 | Time = 3s
Step 16000 | Order = 0.022441600385223696 | Time = 3s
Step 17000 | Order = 0.021785006305625559 | Time = 4s
Step 18000 | Order = 0.01436499459072722 | Time = 4s
Step 19000 | Order = 0.026663722431977135 | Time = 4s
Step 20000 | Order = 0.020102425929981828 | Time = 4s
Step 21000 | Order = 0.014084377750303715 | Time = 5s
Step 22000 | Order = 0.027771859903997057 | Time = 5s
Step 23000 | Order = 0.029509920002654223 | Time = 5s
Step 24000 | Order = 0.003273018602643815 | Time = 5s
Step 25000 | Order = 0.014390967031474022 | Time = 5s
Step 26000 | Order = 0.036205784916152971 | Time = 6s
Step 27000 | Order = 0.053541888190202246 | Time = 6s
Step 28000 | Order = 0.037644783559977038 | Time = 6s
Step 29000 | Order = 0.0271582083089386 | Time = 6s
Step 30000 | Order = 0.026822981963360946 | Time = 7s
Step 31000 | Order = 0.0084823868438941158 | Time = 7s
Step 32000 | Order = 0.026268929296939289 | Time = 7s
Step 33000 | Order = 0.056701983406797572 | Time = 7s
Step 34000 | Order = 0.03283394769605124 | Time = 7s
Step 35000 | Order = 0.025357526179926197 | Time = 8s
Step 36000 | Order = 0.055319824241931728 | Time = 8s
Step 37000 | Order = 0.0042312080216940244 | Time = 8s
Step 38000 | Order = 0.01889164040477144 | Time = 8s
Step 39000 | Order = 0.022761765934338929 | Time = 8s
Step 40000 | Order = 0.0095999663761962041 | Time = 9s
Step 41000 | Order = 0.0039786455740982701 | Time = 9s
Step 42000 | Order = 0.038479984727842566 | Time = 9s
Step 43000 | Order = 0.019273714393767249 | Time = 9s
Step 44000 | Order = 0.02240814656122684 | Time = 10s
Step 45000 | Order = 0.0046929962933317127 | Time = 10s
Step 46000 | Order = 0.02530973886209693 | Time = 10s
Step 47000 | Order = 0.028706041379437022 | Time = 11s
Step 48000 | Order = 0.016887714844237817 | Time = 11s
Step 49000 | Order = 0.0039753910297648399 | Time = 11s
Step 50000 | Order = 0.016270765726792934 | Time = 11s
Step 51000 | Order = 0.042763165851173346 | Time = 15s
Step 52000 | Order = 0.020935379283890852 | Time = 15s
Step 53000 | Order = 0.063635567565176673 | Time = 15s
Step 54000 | Order = 0.0061580831021401565 | Time = 16s
Step 55000 | Order = 0.022034106791305824 | Time = 16s
Step 56000 | Order = 0.019308409388117363 | Time = 16s
Step 57000 | Order = 0.013260876570537547 | Time = 16s
Step 58000 | Order = 0.031535375440309224 | Time = 17s
Step 59000 | Order = 0.020832741712095117 | Time = 17s
Step 60000 | Order = 0.010482688745238231 | Time = 17s
Step 61000 | Order = 0.020822872696481608 | Time = 17s
Step 62000 | Order = 0.035808022357566444 | Time = 18s
Step 63000 | Order = 0.05242638802955181 | Time = 18s
Step 64000 | Order = 0.014842250853892467 | Time = 18s
Step 65000 | Order = 0.0082430846297873069 | Time = 18s
Step 66000 | Order = 0.027286931843867147 | Time = 19s
Step 67000 | Order = 0.030541400375891425 | Time = 19s
Step 68000 | Order = 0.028165642280280661 | Time = 19s
Step 69000 | Order = 0.018832679264833705 | Time = 19s
Step 70000 | Order = 0.0077818242856549256 | Time = 19s
Step 71000 | Order = 0.033293769471702601 | Time = 20s
Step 72000 | Order = 0.018752468813227102 | Time = 20s
Step 73000 | Order = 0.023667743140102612 | Time = 20s
Step 74000 | Order = 0.022873413463772824 | Time = 20s
Step 75000 | Order = 0.052035400441457193 | Time = 21s
Step 76000 | Order = 0.030868256734990641 | Time = 21s
Step 77000 | Order = 0.015006584612297955 | Time = 21s
Step 78000 | Order = 0.037956364600261389 | Time = 21s
Step 79000 | Order = 0.0086978864296336951 | Time = 21s
Step 80000 | Order = 0.023708157367755792 | Time = 22s
Step 81000 | Order = 0.039327238020014421 | Time = 22s
Step 82000 | Order = 0.025948649554833159 | Time = 22s
Step 83000 | Order = 0.035605966764331864 | Time = 22s
Step 84000 | Order = 0.025155361750455407 | Time = 22s
Step 85000 | Order = 0.0046406376589318609 | Time = 23s
Step 86000 | Order = 0.047926036726998571 | Time = 23s
Step 87000 | Order = 0.022049183097175289 | Time = 23s
Step 88000 | Order = 0.027612208779330943 | Time = 23s
Step 89000 | Order = 0.014632176623084716 | Time = 24s
Step 90000 | Order = 0.0053422395291198143 | Time = 24s
Step 91000 | Order = 0.023335755356070763 | Time = 24s
Step 92000 | Order = 0.041960747682024784 | Time = 25s
Step 93000 | Order = 0.010172073321682084 | Time = 25s
Step 94000 | Order = 0.022353945886343259 | Time = 25s
Step 95000 | Order = 0.017108976254108961 | Time = 25s
Step 96000 | Order = 0.025096462126245677 | Time = 25s
Step 97000 | Order = 0.043751126205166239 | Time = 26s
Step 98000 | Order = 0.0076111141077919242 | Time = 26s
Step 99000 | Order = 0.02804041429354755 | Time = 26s
Step 100000 | Order = 0.01851450806523517 | Time = 26s
Step 101000 | Order = 0.039152097382277998 | Time = 29s
Step 102000 | Order = 0.033121229300739644 | Time = 29s
Step 103000 | Order = 0.01704789704004963 | Time = 29s
Step 104000 | Order = 0.046199890638821905 | Time = 29s
Step 105000 | Order = 0.057960290464842412 | Time = 30s
Step 106000 | Order = 0.037144782159139328 | Time = 30s
Step 107000 | Order = 0.015838360606046487 | Time = 30s
Step 108000 | Order = 0.03110573170714203 | Time = 30s
Step 109000 | Order = 0.0071210019341212882 | Time = 31s
Step 110000 | Order = 0.032639544006910874 | Time = 31s
Step 111000 | Order = 0.02347863898302649 | Time = 31s
Step 112000 | Order = 0.044397591181975282 | Time = 31s
Step 113000 | Order = 0.024070261854128867 | Time = 32s
Step 114000 | Order = 0.045983127545558874 | Time = 32s
Step 115000 | Order = 0.0054346006886773291 | Time = 32s
Step 116000 | Order = 0.046858878619991599 | Time = 32s
Step 117000 | Order = 0.041298402381401894 | Time = 33s
Step 118000 | Order = 0.013200643764930338 | Time = 33s
Step 119000 | Order = 0.027055313088747684 | Time = 33s
Step 120000 | Order = 0.022971668972358115 | Time = 33s
Step 121000 | Order = 0.048874721523124248 | Time = 33s
Step 122000 | Order = 0.028718320252596814 | Time = 34s
Step 123000 | Order = 0.028203862260751802 | Time = 34s
Step 124000 | Order = 0.014345080807367443 | Time = 34s
Step 125000 | Order = 0.013740524053668943 | Time = 34s
Step 126000 | Order = 0.025296577323981231 | Time = 34s
Step 127000 | Order = 0.029726075123223523 | Time = 35s
Step 128000 | Order = 0.037013238930674729 | Time = 35s
Step 129000 | Order = 0.011080810511266723 | Time = 35s
Step 130000 | Order = 0.020440968662065937 | Time = 35s
Step 131000 | Order = 0.062031198390222794 | Time = 36s
Step 132000 | Order = 0.041853301865122365 | Time = 36s
Step 133000 | Order = 0.053960264773699182 | Time = 36s
Step 134000 | Order = 0.023993995758423627 | Time = 36s
Step 135000 | Order = 0.0035276304924913597 | Time = 36s
