Simulation #40, Parameters: eta = 0.515655 | rho = 0.158729 | v0 = 0.188132s
Step 0 | Order = 0.029286158382992932 | Time = 0s
Step 1000 | Order = 0.017009267798308188 | Time = 0s
Step 2000 | Order = 0.017011951838442126 | Time = 0s
Step 3000 | Order = 0.031183271114093938 | Time = 1s
Step 4000 | Order = 0.043055896858932637 | Time = 1s
Step 5000 | Order = 0.024879467529802919 | Time = 1s
Step 6000 | Order = 0.025449355402467545 | Time = 2s
Step 7000 | Order = 0.010489315885738613 | Time = 2s
Step 8000 | Order = 0.028221994388317805 | Time = 2s
Step 9000 | Order = 0.0081588359351944043 | Time = 3s
Step 10000 | Order = 0.022801883359313848 | Time = 3s
Step 11000 | Order = 0.018689039993151357 | Time = 4s
Step 12000 | Order = 0.01918759566427029 | Time = 4s
Step 13000 | Order = 0.025959106193255956 | Time = 4s
Step 14000 | Order = 0.031535520280990499 | Time = 5s
Step 15000 | Order = 0.027819899137015418 | Time = 5s
Step 16000 | Order = 0.01141626208010255 | Time = 5s
Step 17000 | Order = 0.010671286260206062 | Time = 6s
Step 18000 | Order = 0.0024525130243989298 | Time = 6s
Step 19000 | Order = 0.029559478500323692 | Time = 6s
Step 20000 | Order = 0.039235145657914597 | Time = 7s
Step 21000 | Order = 0.018369203080757113 | Time = 7s
Step 22000 | Order = 0.019904746341607531 | Time = 7s
Step 23000 | Order = 0.0043414633736444334 | Time = 8s
Step 24000 | Order = 0.028388678876779604 | Time = 8s
Step 25000 | Order = 0.02114753411977854 | Time = 8s
Step 26000 | Order = 0.017797324760689664 | Time = 9s
Step 27000 | Order = 0.0094858700349641292 | Time = 9s
Step 28000 | Order = 0.021944565449068334 | Time = 9s
Step 29000 | Order = 0.034602418816976802 | Time = 9s
Step 30000 | Order = 0.019269987438999148 | Time = 10s
Step 31000 | Order = 0.015721723972120901 | Time = 10s
Step 32000 | Order = 0.02206973573194514 | Time = 10s
Step 33000 | Order = 0.0014871648094581383 | Time = 10s
Step 34000 | Order = 0.0067038809889246979 | Time = 11s
Step 35000 | Order = 0.0025003623781350683 | Time = 11s
Step 36000 | Order = 0.015133652366673517 | Time = 11s
Step 37000 | Order = 0.018513586045408089 | Time = 12s
Step 38000 | Order = 0.026283935735004225 | Time = 12s
Step 39000 | Order = 0.013704853303507276 | Time = 12s
Step 40000 | Order = 0.022689545397035646 | Time = 12s
Step 41000 | Order = 0.0092980306553540944 | Time = 13s
Step 42000 | Order = 0.02263637518486547 | Time = 13s
Step 43000 | Order = 0.011092238213177879 | Time = 13s
Step 44000 | Order = 0.016261015406447241 | Time = 13s
Step 45000 | Order = 0.013800955224587783 | Time = 14s
Step 46000 | Order = 0.013442902705874811 | Time = 14s
Step 47000 | Order = 0.020602111013843745 | Time = 14s
Step 48000 | Order = 0.028541562007686025 | Time = 14s
Step 49000 | Order = 0.022359548370731275 | Time = 15s
Step 50000 | Order = 0.036052528208000388 | Time = 16s
Step 51000 | Order = 0.0086582652772002298 | Time = 16s
Step 52000 | Order = 0.021211015134997339 | Time = 17s
Step 53000 | Order = 0.018458743576891277 | Time = 17s
Step 54000 | Order = 0.014593170738130691 | Time = 17s
Step 55000 | Order = 0.027147378168809057 | Time = 18s
Step 56000 | Order = 0.020420862713740127 | Time = 18s
Step 57000 | Order = 0.019242963565626759 | Time = 18s
Step 58000 | Order = 0.0012823567510670576 | Time = 19s
Step 59000 | Order = 0.03051754023194753 | Time = 19s
Step 60000 | Order = 0.026501925617252241 | Time = 19s
Step 61000 | Order = 0.032216391277926353 | Time = 20s
Step 62000 | Order = 0.020163110472606653 | Time = 20s
Step 63000 | Order = 0.041824304966779642 | Time = 20s
Step 64000 | Order = 0.019109222391424829 | Time = 21s
Step 65000 | Order = 0.006510536705008254 | Time = 21s
Step 66000 | Order = 0.006012871322974859 | Time = 21s
Step 67000 | Order = 0.0083235165642071545 | Time = 22s
Step 68000 | Order = 0.038640003311017294 | Time = 22s
Step 69000 | Order = 0.015071584318329395 | Time = 22s
Step 70000 | Order = 0.026837457896022432 | Time = 22s
Step 71000 | Order = 0.004787157964347033 | Time = 23s
Step 72000 | Order = 0.022659448393048408 | Time = 23s
Step 73000 | Order = 0.02937776303897929 | Time = 23s
Step 74000 | Order = 0.010943257521684879 | Time = 24s
Step 75000 | Order = 0.026144673567037334 | Time = 24s
Step 76000 | Order = 0.014457176568070813 | Time = 24s
Step 77000 | Order = 0.027041166961769982 | Time = 24s
Step 78000 | Order = 0.016958750249209262 | Time = 25s
Step 79000 | Order = 0.014665034112879775 | Time = 25s
Step 80000 | Order = 0.018837033158861795 | Time = 25s
Step 81000 | Order = 0.034305281041151436 | Time = 26s
Step 82000 | Order = 0.011741244700730315 | Time = 26s
Step 83000 | Order = 0.017061715001590493 | Time = 26s
Step 84000 | Order = 0.019946297194461799 | Time = 27s
Step 85000 | Order = 0.032328795469581499 | Time = 27s
Step 86000 | Order = 0.014738054142374215 | Time = 27s
Step 87000 | Order = 0.0049108459033773161 | Time = 27s
Step 88000 | Order = 0.050106827791261764 | Time = 28s
Step 89000 | Order = 0.022728745704857476 | Time = 28s
Step 90000 | Order = 0.027596316681431931 | Time = 28s
Step 91000 | Order = 0.014300046378106371 | Time = 28s
Step 92000 | Order = 0.012881265456727908 | Time = 29s
Step 93000 | Order = 0.030578509099275293 | Time = 29s
Step 94000 | Order = 0.02537403994662028 | Time = 29s
Step 95000 | Order = 0.026590661560907509 | Time = 30s
Step 96000 | Order = 0.01523511730302296 | Time = 30s
Step 97000 | Order = 0.027341293526950385 | Time = 30s
Step 98000 | Order = 0.020990963469161725 | Time = 31s
Step 99000 | Order = 0.0080374026457267888 | Time = 31s
Step 100000 | Order = 0.011381512636243931 | Time = 31s
Step 101000 | Order = 0.0080550437366666162 | Time = 32s
Step 102000 | Order = 0.021207866345371508 | Time = 32s
Step 103000 | Order = 0.014073979135887239 | Time = 32s
Step 104000 | Order = 0.0090561024750733504 | Time = 33s
Step 105000 | Order = 0.02368523619496804 | Time = 33s
Step 106000 | Order = 0.020465207022854235 | Time = 34s
Step 107000 | Order = 0.017565981608959294 | Time = 34s
Step 108000 | Order = 0.045756111182136044 | Time = 34s
Step 109000 | Order = 0.012194986626522243 | Time = 34s
Step 110000 | Order = 0.021282437940689593 | Time = 35s
Step 111000 | Order = 0.023025686639177902 | Time = 35s
Step 112000 | Order = 0.039900739559693824 | Time = 35s
Step 113000 | Order = 0.029759619506877246 | Time = 35s
Step 114000 | Order = 0.015230380213150502 | Time = 36s
Step 115000 | Order = 0.025120791123593198 | Time = 36s
Step 116000 | Order = 0.011672033869465255 | Time = 37s
Step 117000 | Order = 0.020102643076954717 | Time = 37s
Step 118000 | Order = 0.0063759166203485622 | Time = 37s
Step 119000 | Order = 0.022062947644694755 | Time = 37s
Step 120000 | Order = 0.023949927949890298 | Time = 38s
Step 121000 | Order = 0.020643069538113065 | Time = 38s
Step 122000 | Order = 0.01112301684275069 | Time = 38s
Step 123000 | Order = 0.034721432423838204 | Time = 38s
Step 124000 | Order = 0.0067798672775011013 | Time = 39s
Step 125000 | Order = 0.015034351089524195 | Time = 39s
Step 126000 | Order = 0.0093255013363927747 | Time = 39s
Step 127000 | Order = 0.0069917568820820298 | Time = 39s
Step 128000 | Order = 0.0069124694255552855 | Time = 40s
Step 129000 | Order = 0.021034212622485331 | Time = 40s
Step 130000 | Order = 0.027590923396220355 | Time = 40s
Step 131000 | Order = 0.021866571714164937 | Time = 41s
Step 132000 | Order = 0.021203379821716096 | Time = 41s
Step 133000 | Order = 0.024076760356659194 | Time = 41s
Step 134000 | Order = 0.020197963530955432 | Time = 41s
Step 135000 | Order = 0.042021729255565445 | Time = 42s
Step 136000 | Order = 0.036000710050709234 | Time = 42s
Step 137000 | Order = 0.02044139237423425 | Time = 42s
Step 138000 | Order = 0.010912384604131482 | Time = 42s
Step 139000 | Order = 0.0050599405250311546 | Time = 43s
Step 140000 | Order = 0.055793683821071471 | Time = 43s
Step 141000 | Order = 0.03248872633831551 | Time = 43s
Step 142000 | Order = 0.011934340847905742 | Time = 44s
Step 143000 | Order = 0.033506299900501156 | Time = 44s
Step 144000 | Order = 0.0080997010617052216 | Time = 44s
Step 145000 | Order = 0.022784420785923826 | Time = 44s
Step 146000 | Order = 0.022160301809823965 | Time = 45s
Step 147000 | Order = 0.023052856702561787 | Time = 45s
Step 148000 | Order = 0.039969062194536789 | Time = 45s
Step 149000 | Order = 0.031668503475959897 | Time = 45s
Step 150000 | Order = 0.023929922989162987 | Time = 46s
Step 151000 | Order = 0.017234911061275608 | Time = 46s
Step 152000 | Order = 0.029006403540380095 | Time = 46s
Step 153000 | Order = 0.032486005826558161 | Time = 47s
Step 154000 | Order = 0.013331303176761306 | Time = 47s
