Simulation #0, Parameters: eta = 0.813919 | rho = 0.382139 | v0 = 0.113207s
Step 0 | Order = 0.0041258475096929183 | Time = 0s
Step 1000 | Order = 0.025017733060784676 | Time = 0s
Step 2000 | Order = 0.010512280649412859 | Time = 1s
Step 3000 | Order = 0.0047345206605239783 | Time = 1s
Step 4000 | Order = 0.0038238856116972041 | Time = 1s
Step 5000 | Order = 0.010659162945884452 | Time = 2s
Step 6000 | Order = 0.025065829562111223 | Time = 2s
Step 7000 | Order = 0.016814949200954145 | Time = 3s
Step 8000 | Order = 0.020310543608317591 | Time = 3s
Step 9000 | Order = 0.014491807384587913 | Time = 4s
Step 10000 | Order = 0.0035189402490359138 | Time = 4s
Step 11000 | Order = 0.0020096107840323644 | Time = 5s
Step 12000 | Order = 0.0020438173772053458 | Time = 5s
Step 13000 | Order = 0.0011934004587486667 | Time = 6s
Step 14000 | Order = 0.010500267403723867 | Time = 6s
Step 15000 | Order = 0.020177829450038078 | Time = 6s
Step 16000 | Order = 0.016310475651814624 | Time = 7s
Step 17000 | Order = 0.0077858622844928765 | Time = 7s
Step 18000 | Order = 0.0079308636336299556 | Time = 8s
Step 19000 | Order = 0.0072613609082536577 | Time = 8s
Step 20000 | Order = 0.020142947511490383 | Time = 9s
Step 21000 | Order = 0.014387615876493676 | Time = 9s
Step 22000 | Order = 0.0086789028661468266 | Time = 10s
Step 23000 | Order = 0.011209982959712773 | Time = 10s
Step 24000 | Order = 0.0095285202028274184 | Time = 11s
Step 25000 | Order = 0.016025743708934326 | Time = 11s
Step 26000 | Order = 0.015457953671686328 | Time = 11s
Step 27000 | Order = 0.011503312768957693 | Time = 12s
Step 28000 | Order = 0.025837163557060953 | Time = 12s
Step 29000 | Order = 0.014011175318379606 | Time = 13s
Step 30000 | Order = 0.0092738276804663761 | Time = 13s
Step 31000 | Order = 0.01816928161089865 | Time = 14s
Step 32000 | Order = 0.0059516281784035016 | Time = 14s
Step 33000 | Order = 0.0094083342630380002 | Time = 15s
Step 34000 | Order = 0.0025496867970341507 | Time = 15s
Step 35000 | Order = 0.011105653332150212 | Time = 16s
Step 36000 | Order = 0.017198746187284359 | Time = 16s
Step 37000 | Order = 0.014874083212727785 | Time = 17s
Step 38000 | Order = 0.01404979346862556 | Time = 17s
Step 39000 | Order = 0.018765350729121329 | Time = 17s
Step 40000 | Order = 0.0091206999935161074 | Time = 18s
Step 41000 | Order = 0.020211663157630483 | Time = 18s
Step 42000 | Order = 0.0048887398530736946 | Time = 19s
Step 43000 | Order = 0.006687904180768838 | Time = 19s
Step 44000 | Order = 0.020164925006329507 | Time = 20s
Step 45000 | Order = 0.0056628274947837422 | Time = 20s
Step 46000 | Order = 0.010920131271626304 | Time = 21s
Step 47000 | Order = 0.011423315765626649 | Time = 21s
Step 48000 | Order = 0.0032799251834661728 | Time = 22s
Step 49000 | Order = 0.0097710385573170546 | Time = 22s
Step 50000 | Order = 0.013330068260059004 | Time = 22s
Step 51000 | Order = 0.01514414394268637 | Time = 23s
Step 52000 | Order = 0.0011616737570483478 | Time = 23s
Step 53000 | Order = 0.016666507375416383 | Time = 24s
Step 54000 | Order = 0.0067525507867523355 | Time = 24s
Step 55000 | Order = 0.016781187733279256 | Time = 25s
Step 56000 | Order = 0.01980414709564194 | Time = 25s
Step 57000 | Order = 0.024681952287664895 | Time = 26s
Step 58000 | Order = 0.01928572639048794 | Time = 26s
Step 59000 | Order = 0.0062195117541393842 | Time = 27s
Step 60000 | Order = 0.01211309859548973 | Time = 27s
Step 61000 | Order = 0.012108757309495876 | Time = 28s
Step 62000 | Order = 0.015021658789669332 | Time = 28s
Step 63000 | Order = 0.0051006342977609172 | Time = 28s
Step 64000 | Order = 0.017136167924986834 | Time = 29s
Step 65000 | Order = 0.0083241822290853248 | Time = 29s
Step 66000 | Order = 0.01218132632888182 | Time = 30s
Step 67000 | Order = 0.018280915758745915 | Time = 30s
Step 68000 | Order = 0.010305170800023293 | Time = 31s
Step 69000 | Order = 0.0080169463300405041 | Time = 31s
Step 70000 | Order = 0.0090788654435120363 | Time = 32s
Step 71000 | Order = 0.010213198209030785 | Time = 32s
Step 72000 | Order = 0.011576951426373491 | Time = 33s
Step 73000 | Order = 0.012542302410991971 | Time = 33s
Step 74000 | Order = 0.0024030218783417439 | Time = 33s
Step 75000 | Order = 0.01136798684981561 | Time = 34s
Step 76000 | Order = 0.0082116733670421754 | Time = 34s
Step 77000 | Order = 0.015390717447207703 | Time = 35s
Step 78000 | Order = 0.015357966011264145 | Time = 35s
Step 79000 | Order = 0.017721366186481118 | Time = 36s
Step 80000 | Order = 0.019256512797565451 | Time = 36s
Step 81000 | Order = 0.0087526998474801044 | Time = 37s
Step 82000 | Order = 0.010096149329243159 | Time = 37s
Step 83000 | Order = 0.0072315674102542606 | Time = 38s
Step 84000 | Order = 0.012036720820205767 | Time = 38s
Step 85000 | Order = 0.0075441940716070638 | Time = 39s
Step 86000 | Order = 0.0089441323458671704 | Time = 39s
Step 87000 | Order = 0.0094974340186112817 | Time = 39s
Step 88000 | Order = 0.012806544486001844 | Time = 40s
Step 89000 | Order = 0.0071733909301059801 | Time = 40s
Step 90000 | Order = 0.015013450228355704 | Time = 41s
Step 91000 | Order = 0.013398986588479959 | Time = 41s
Step 92000 | Order = 0.01387703028721296 | Time = 42s
Step 93000 | Order = 0.006008393451051891 | Time = 42s
Step 94000 | Order = 0.013311306861627651 | Time = 43s
Step 95000 | Order = 0.0099107648439350996 | Time = 43s
Step 96000 | Order = 0.0039337065034663974 | Time = 44s
Step 97000 | Order = 0.0084237314699540412 | Time = 44s
Step 98000 | Order = 0.010807191147117234 | Time = 44s
Step 99000 | Order = 0.017643102875043292 | Time = 45s
Step 100000 | Order = 0.020294253867022889 | Time = 45s
Step 101000 | Order = 0.0058681380920972111 | Time = 46s
Step 102000 | Order = 0.010698374036811269 | Time = 46s
Step 103000 | Order = 0.0031026402209003165 | Time = 47s
Step 104000 | Order = 0.0095897839552004996 | Time = 47s
Step 105000 | Order = 0.013639574452610546 | Time = 48s
Step 106000 | Order = 0.0014713584682942589 | Time = 48s
Step 107000 | Order = 0.017307489820264334 | Time = 49s
Step 108000 | Order = 0.0068933987065975359 | Time = 49s
Step 109000 | Order = 0.011881029591402434 | Time = 50s
Step 110000 | Order = 0.016735489976303107 | Time = 50s
Step 111000 | Order = 0.023043435520102802 | Time = 50s
