Simulation #158, Parameters: eta = 0.748393 | rho = 0.366830 | v0 = 0.0418943s
Step 0 | Order = 0.012329440018358293 | Time = 0s
Step 1000 | Order = 0.020586614623401819 | Time = 0s
Step 2000 | Order = 0.021136777024215059 | Time = 1s
Step 3000 | Order = 0.013702403345102265 | Time = 1s
Step 4000 | Order = 0.010346252643976091 | Time = 1s
Step 5000 | Order = 0.021380165143717957 | Time = 2s
Step 6000 | Order = 0.013824930332185265 | Time = 2s
Step 7000 | Order = 0.008517875841110939 | Time = 3s
Step 8000 | Order = 0.0074610788327350193 | Time = 3s
Step 9000 | Order = 0.010408233998105983 | Time = 4s
Step 10000 | Order = 0.010701236718077392 | Time = 4s
Step 11000 | Order = 0.017798390269181064 | Time = 4s
Step 12000 | Order = 0.017769275763978857 | Time = 5s
Step 13000 | Order = 0.0057456526815878022 | Time = 5s
Step 14000 | Order = 0.011874854923515506 | Time = 6s
Step 15000 | Order = 0.016421811714362886 | Time = 6s
Step 16000 | Order = 0.0074939995637406959 | Time = 7s
Step 17000 | Order = 0.012300568098689117 | Time = 7s
Step 18000 | Order = 0.017637219922771539 | Time = 7s
Step 19000 | Order = 0.023310667399398879 | Time = 8s
Step 20000 | Order = 0.0093479854941763297 | Time = 8s
Step 21000 | Order = 0.0088163880246699307 | Time = 9s
Step 22000 | Order = 0.015849111091892569 | Time = 9s
Step 23000 | Order = 0.002942723390543783 | Time = 10s
Step 24000 | Order = 0.013951848671301288 | Time = 10s
Step 25000 | Order = 0.004791468188172613 | Time = 10s
Step 26000 | Order = 0.016053021757164478 | Time = 11s
Step 27000 | Order = 0.01431593663758015 | Time = 11s
Step 28000 | Order = 0.020836705741324346 | Time = 12s
Step 29000 | Order = 0.014463368762139819 | Time = 12s
Step 30000 | Order = 0.024370312929634989 | Time = 13s
Step 31000 | Order = 0.017146138346914013 | Time = 13s
Step 32000 | Order = 0.017212568357220931 | Time = 13s
Step 33000 | Order = 0.0061871458486367102 | Time = 14s
Step 34000 | Order = 0.0084868948027497296 | Time = 14s
Step 35000 | Order = 0.0046553433933098692 | Time = 15s
Step 36000 | Order = 0.015404263083384124 | Time = 15s
Step 37000 | Order = 0.0093095606039149629 | Time = 16s
Step 38000 | Order = 0.016709866961543352 | Time = 16s
Step 39000 | Order = 0.0054886652424247177 | Time = 16s
Step 40000 | Order = 0.0095606358555959722 | Time = 17s
Step 41000 | Order = 0.012859536286958328 | Time = 17s
Step 42000 | Order = 0.010087664155814087 | Time = 18s
Step 43000 | Order = 0.012369179295852649 | Time = 18s
Step 44000 | Order = 0.013013761198412988 | Time = 19s
Step 45000 | Order = 0.022174910858883956 | Time = 19s
Step 46000 | Order = 0.011189669367191266 | Time = 19s
Step 47000 | Order = 0.00049691060452399882 | Time = 20s
Step 48000 | Order = 0.021460229305002635 | Time = 20s
Step 49000 | Order = 0.0040018421678313281 | Time = 21s
Step 50000 | Order = 0.0092776515516432376 | Time = 21s
Step 51000 | Order = 0.0030967878397139999 | Time = 22s
Step 52000 | Order = 0.01026359917107076 | Time = 22s
Step 53000 | Order = 0.017385135365419132 | Time = 23s
Step 54000 | Order = 0.020917526921126556 | Time = 23s
Step 55000 | Order = 0.021477450484215267 | Time = 24s
Step 56000 | Order = 0.0019494022692352754 | Time = 24s
Step 57000 | Order = 0.0059961952071295654 | Time = 24s
Step 58000 | Order = 0.006047956583790177 | Time = 25s
Step 59000 | Order = 0.017799423232072654 | Time = 25s
Step 60000 | Order = 0.013555435598755834 | Time = 26s
Step 61000 | Order = 0.022809909924533626 | Time = 26s
Step 62000 | Order = 0.017052641097926032 | Time = 27s
Step 63000 | Order = 0.014364331297264298 | Time = 27s
Step 64000 | Order = 0.003914795792087665 | Time = 27s
Step 65000 | Order = 0.0059751307722133457 | Time = 28s
Step 66000 | Order = 0.01126109839836034 | Time = 28s
Step 67000 | Order = 0.0064396173213428637 | Time = 29s
Step 68000 | Order = 0.0090232037297745121 | Time = 29s
Step 69000 | Order = 0.00354372799126441 | Time = 30s
Step 70000 | Order = 0.0044598858393328066 | Time = 30s
Step 71000 | Order = 0.027741247228773996 | Time = 31s
Step 72000 | Order = 0.0048712323523898452 | Time = 31s
Step 73000 | Order = 0.012400516244867025 | Time = 31s
Step 74000 | Order = 0.021230243439460266 | Time = 32s
Step 75000 | Order = 0.0083768230028396628 | Time = 32s
Step 76000 | Order = 0.002020209689215968 | Time = 33s
Step 77000 | Order = 0.016158500561563795 | Time = 33s
Step 78000 | Order = 0.021004379258666737 | Time = 34s
Step 79000 | Order = 0.0061858130734462197 | Time = 34s
Step 80000 | Order = 0.01239554632493624 | Time = 34s
Step 81000 | Order = 0.016227778064540791 | Time = 35s
Step 82000 | Order = 0.009644503965337399 | Time = 35s
Step 83000 | Order = 0.015254005366955529 | Time = 36s
Step 84000 | Order = 0.0147756671054169 | Time = 36s
Step 85000 | Order = 0.014138511246313634 | Time = 37s
Step 86000 | Order = 0.011758578730780195 | Time = 37s
Step 87000 | Order = 0.033446775977200263 | Time = 38s
Step 88000 | Order = 0.015089609913804437 | Time = 38s
Step 89000 | Order = 0.0019746128010375442 | Time = 39s
Step 90000 | Order = 0.0046709416993681429 | Time = 39s
Step 91000 | Order = 0.0025260139646101558 | Time = 39s
Step 92000 | Order = 0.013952280567236311 | Time = 40s
Step 93000 | Order = 0.015738091026407251 | Time = 40s
Step 94000 | Order = 0.024236334685912062 | Time = 41s
Step 95000 | Order = 0.0086992450932790386 | Time = 41s
Step 96000 | Order = 0.02976838779611337 | Time = 42s
Step 97000 | Order = 0.010938060214307505 | Time = 42s
Step 98000 | Order = 0.010562160763315107 | Time = 42s
Step 99000 | Order = 0.012529892248381446 | Time = 43s
Step 100000 | Order = 0.011712346749381885 | Time = 43s
Step 101000 | Order = 0.01648852537870521 | Time = 44s
Step 102000 | Order = 0.014468781597587833 | Time = 45s
Step 103000 | Order = 0.002694566574060561 | Time = 45s
Step 104000 | Order = 0.0098765127257830956 | Time = 46s
Step 105000 | Order = 0.0067894653949560043 | Time = 46s
Step 106000 | Order = 0.0075652335819966533 | Time = 47s
Step 107000 | Order = 0.0094603727103502889 | Time = 47s
Step 108000 | Order = 0.0043189483770818271 | Time = 47s
Step 109000 | Order = 0.0077521492840019364 | Time = 48s
Step 110000 | Order = 0.0084071332004397471 | Time = 48s
Step 111000 | Order = 0.014313754190100232 | Time = 49s
Step 112000 | Order = 0.028576641300698386 | Time = 49s
Step 113000 | Order = 0.0034610914598157821 | Time = 50s
Step 114000 | Order = 0.0049087620949585945 | Time = 50s
Step 115000 | Order = 0.0071213885504345332 | Time = 50s
Step 116000 | Order = 0.0087251904306928571 | Time = 51s
Step 117000 | Order = 0.0070857314449628535 | Time = 51s
Step 118000 | Order = 0.0044751403966593797 | Time = 52s
Step 119000 | Order = 0.0067786488169866406 | Time = 52s
Step 120000 | Order = 0.0064749595761003685 | Time = 53s
Step 121000 | Order = 0.011817343091873283 | Time = 53s
Step 122000 | Order = 0.019326518520195343 | Time = 53s
Step 123000 | Order = 0.024958091087555874 | Time = 54s
Step 124000 | Order = 0.020409524722748495 | Time = 54s
Step 125000 | Order = 0.0084170696277731695 | Time = 55s
Step 126000 | Order = 0.01654990226420424 | Time = 55s
Step 127000 | Order = 0.00048441061031234337 | Time = 56s
Step 128000 | Order = 0.0062730745892230775 | Time = 56s
Step 129000 | Order = 0.018900768715680531 | Time = 56s
Step 130000 | Order = 0.011891365844781379 | Time = 57s
Step 131000 | Order = 0.0057995391018162224 | Time = 57s
Step 132000 | Order = 0.0087449164107037698 | Time = 58s
Step 133000 | Order = 0.023933182532356708 | Time = 58s
Step 134000 | Order = 0.013316787411389469 | Time = 59s
Step 135000 | Order = 0.017587334437445087 | Time = 59s
Step 136000 | Order = 0.0016357617384439222 | Time = 59s
Step 137000 | Order = 0.020635704973188847 | Time = 60s
Step 138000 | Order = 0.0074075519421914803 | Time = 60s
Step 139000 | Order = 0.02100792670553088 | Time = 61s
Step 140000 | Order = 0.014930677115814934 | Time = 61s
Step 141000 | Order = 0.0040691602339412219 | Time = 62s
Step 142000 | Order = 0.013801006509746616 | Time = 62s
Step 143000 | Order = 0.013400158342182325 | Time = 62s
Step 144000 | Order = 0.015150142432611809 | Time = 63s
Step 145000 | Order = 0.0024819649568896093 | Time = 63s
Step 146000 | Order = 0.010437889114240357 | Time = 64s
Step 147000 | Order = 0.027083073001617212 | Time = 64s
Step 148000 | Order = 0.0086794564049231613 | Time = 65s
Step 149000 | Order = 0.0079874127598632341 | Time = 65s
Step 150000 | Order = 0.0042570854800643588 | Time = 65s
Step 151000 | Order = 0.021050455922835921 | Time = 66s
Step 152000 | Order = 0.0096039825643953851 | Time = 67s
Step 153000 | Order = 0.015947869490037153 | Time = 67s
Step 154000 | Order = 0.0073200201206531758 | Time = 67s
Step 155000 | Order = 0.012950045729836579 | Time = 68s
Step 156000 | Order = 0.0045949380137890253 | Time = 68s
Step 157000 | Order = 0.0082540537836611021 | Time = 69s
Step 158000 | Order = 0.0029039429390859848 | Time = 69s
Step 159000 | Order = 0.020684830908925794 | Time = 69s
Step 160000 | Order = 0.019632383524124216 | Time = 70s
Step 161000 | Order = 0.0046206994282245025 | Time = 70s
Step 162000 | Order = 0.018149855529617669 | Time = 71s
Step 163000 | Order = 0.012205767577086643 | Time = 71s
Step 164000 | Order = 0.013862892415346275 | Time = 72s
Step 165000 | Order = 0.0086449703486435117 | Time = 72s
Step 166000 | Order = 0.0030707099680769129 | Time = 72s
Step 167000 | Order = 0.0091337617738260803 | Time = 73s
Step 168000 | Order = 0.018859263104026889 | Time = 73s
Step 169000 | Order = 0.0044636958593445922 | Time = 74s
Step 170000 | Order = 0.01734263688357603 | Time = 74s
Step 171000 | Order = 0.015803658884834728 | Time = 75s
Step 172000 | Order = 0.00094544778166963947 | Time = 75s
Step 173000 | Order = 0.0030313813512142965 | Time = 76s
Step 174000 | Order = 0.01169104532351381 | Time = 76s
Step 175000 | Order = 0.013151007334861348 | Time = 76s
Step 176000 | Order = 0.010505247126931619 | Time = 77s
Step 177000 | Order = 0.0072734576863361248 | Time = 77s
Step 178000 | Order = 0.0037526258244567493 | Time = 78s
Step 179000 | Order = 0.0040084779792910656 | Time = 78s
Step 180000 | Order = 0.024581706868279225 | Time = 79s
Step 181000 | Order = 0.0094040028434080481 | Time = 79s
Step 182000 | Order = 0.013962934667462439 | Time = 79s
Step 183000 | Order = 0.0093356260399244731 | Time = 80s
Step 184000 | Order = 0.016845164934441437 | Time = 80s
Step 185000 | Order = 0.015895957531956138 | Time = 81s
Step 186000 | Order = 0.0055831918285534866 | Time = 81s
Step 187000 | Order = 0.01072209953665078 | Time = 82s
Step 188000 | Order = 0.008505018817404706 | Time = 82s
Step 189000 | Order = 0.018924146397536857 | Time = 82s
Step 190000 | Order = 0.011173950104992159 | Time = 83s
Step 191000 | Order = 0.0076381588459652908 | Time = 83s
Step 192000 | Order = 0.010444352674915643 | Time = 84s
Step 193000 | Order = 0.011340107806960943 | Time = 84s
Step 194000 | Order = 0.021988589013587603 | Time = 85s
Step 195000 | Order = 0.028022354852950168 | Time = 85s
Step 196000 | Order = 0.018061880446911739 | Time = 85s
Step 197000 | Order = 0.013565051473962829 | Time = 86s
Step 198000 | Order = 0.010189768619162995 | Time = 86s
Step 199000 | Order = 0.014651528785794263 | Time = 87s
Step 200000 | Order = 0.013914820200014529 | Time = 87s
Step 201000 | Order = 0.012534005128086091 | Time = 88s
Step 202000 | Order = 0.017583785222239023 | Time = 88s
Step 203000 | Order = 0.01791579234044946 | Time = 89s
Step 204000 | Order = 0.017417878409413647 | Time = 89s
Step 205000 | Order = 0.0046640757195599404 | Time = 90s
Step 206000 | Order = 0.0028793735589463043 | Time = 90s
Step 207000 | Order = 0.021046508744043613 | Time = 91s
Step 208000 | Order = 0.0030749806746678881 | Time = 91s
Step 209000 | Order = 0.0082434363942097827 | Time = 91s
Step 210000 | Order = 0.012208235857543303 | Time = 92s
Step 211000 | Order = 0.01810969692531942 | Time = 92s
Step 212000 | Order = 0.014909499035970967 | Time = 93s
Step 213000 | Order = 0.0060825102747387007 | Time = 93s
Step 214000 | Order = 0.014411863660853752 | Time = 94s
Step 215000 | Order = 0.02368604707434711 | Time = 94s
Step 216000 | Order = 0.0051228159387612087 | Time = 94s
Step 217000 | Order = 0.0084332324053597724 | Time = 95s
Step 218000 | Order = 0.014168944476987137 | Time = 95s
Step 219000 | Order = 0.006567829139456585 | Time = 96s
Step 220000 | Order = 0.0044874860441320441 | Time = 96s
Step 221000 | Order = 0.013872842211050953 | Time = 97s
Step 222000 | Order = 0.0073290340399127683 | Time = 97s
Step 223000 | Order = 0.0057350299449335429 | Time = 98s
Step 224000 | Order = 0.0038652892987660207 | Time = 98s
Step 225000 | Order = 0.0039388823290588595 | Time = 99s
Step 226000 | Order = 0.011297863773226792 | Time = 99s
Step 227000 | Order = 0.014218529132506577 | Time = 99s
Step 228000 | Order = 0.0064922212588660452 | Time = 100s
Step 229000 | Order = 0.0058026813387606589 | Time = 100s
Step 230000 | Order = 0.0086468379049822099 | Time = 101s
Step 231000 | Order = 0.0071870957588284039 | Time = 101s
Step 232000 | Order = 0.023562956675044117 | Time = 102s
Step 233000 | Order = 0.015512065629348704 | Time = 102s
Step 234000 | Order = 0.0049567919889693364 | Time = 102s
Step 235000 | Order = 0.014599282667411173 | Time = 103s
Step 236000 | Order = 0.010854897623030274 | Time = 103s
Step 237000 | Order = 0.028760447474722808 | Time = 104s
Step 238000 | Order = 0.0043552895553672834 | Time = 104s
Step 239000 | Order = 0.016972779172473414 | Time = 105s
Step 240000 | Order = 0.0083314206538495379 | Time = 105s
Step 241000 | Order = 0.0071863621400558688 | Time = 105s
Step 242000 | Order = 0.016278005717878734 | Time = 106s
Step 243000 | Order = 0.005340344229060932 | Time = 106s
Step 244000 | Order = 0.013968862347121155 | Time = 107s
Step 245000 | Order = 0.0080148869574800663 | Time = 107s
Step 246000 | Order = 0.015873207852643886 | Time = 108s
Step 247000 | Order = 0.0028696043435448284 | Time = 108s
Step 248000 | Order = 0.019671706220881355 | Time = 108s
Step 249000 | Order = 0.020991092384101493 | Time = 109s
Step 250000 | Order = 0.012482278606327533 | Time = 109s
Step 251000 | Order = 0.0075611674396135545 | Time = 110s
Step 252000 | Order = 0.010284804502323705 | Time = 111s
Step 253000 | Order = 0.011577398513751813 | Time = 111s
Step 254000 | Order = 0.0088394287335483365 | Time = 111s
Step 255000 | Order = 0.014451099341637455 | Time = 112s
Step 256000 | Order = 0.014422716431991838 | Time = 112s
Step 257000 | Order = 0.013957382028903296 | Time = 113s
Step 258000 | Order = 0.011136836852215653 | Time = 113s
Step 259000 | Order = 0.0069774207234883697 | Time = 114s
Step 260000 | Order = 0.0062281879974752279 | Time = 114s
Step 261000 | Order = 0.0066070474922146931 | Time = 114s
Step 262000 | Order = 0.029935922861973129 | Time = 115s
Step 263000 | Order = 0.0085597507246861562 | Time = 115s
Step 264000 | Order = 0.0034857743226174979 | Time = 116s
Step 265000 | Order = 0.0071082270964493623 | Time = 116s
Step 266000 | Order = 0.018434951913189709 | Time = 117s
Step 267000 | Order = 0.0074812202006065117 | Time = 117s
Step 268000 | Order = 0.0085324584087472753 | Time = 117s
Step 269000 | Order = 0.019679880512802939 | Time = 118s
Step 270000 | Order = 0.0054987703936842615 | Time = 118s
Step 271000 | Order = 0.0040909002416818809 | Time = 119s
Step 272000 | Order = 0.0083139697480025063 | Time = 119s
Step 273000 | Order = 0.012683448285668142 | Time = 120s
Step 274000 | Order = 0.017100414128618631 | Time = 120s
Step 275000 | Order = 0.00067563183460405568 | Time = 120s
Step 276000 | Order = 0.0051964613341190912 | Time = 121s
Step 277000 | Order = 0.011823066907648226 | Time = 121s
Step 278000 | Order = 0.0081548028822333828 | Time = 122s
Step 279000 | Order = 0.0079334376194814676 | Time = 122s
Step 280000 | Order = 0.0097377075755872514 | Time = 123s
Step 281000 | Order = 0.0062759915291676956 | Time = 123s
Step 282000 | Order = 0.023328772861835104 | Time = 123s
Step 283000 | Order = 0.0028696731038849121 | Time = 124s
Step 284000 | Order = 0.004446475035224759 | Time = 124s
Step 285000 | Order = 0.0099806337377952581 | Time = 125s
Step 286000 | Order = 0.012143102213872299 | Time = 125s
Step 287000 | Order = 0.0055562476798804708 | Time = 126s
Step 288000 | Order = 0.009462047389860841 | Time = 126s
Step 289000 | Order = 0.0022884704860363625 | Time = 126s
Step 290000 | Order = 0.0069630487877091083 | Time = 127s
Step 291000 | Order = 0.0069272761679363311 | Time = 127s
Step 292000 | Order = 0.0063611246552435878 | Time = 128s
Step 293000 | Order = 0.015359371303683204 | Time = 128s
Step 294000 | Order = 0.0047064440355879559 | Time = 129s
Step 295000 | Order = 0.018044157938412967 | Time = 129s
Step 296000 | Order = 0.015873273658507978 | Time = 129s
Step 297000 | Order = 0.026478834565944201 | Time = 130s
Step 298000 | Order = 0.0095541454595976655 | Time = 130s
Step 299000 | Order = 0.0076841518277239685 | Time = 131s
Step 300000 | Order = 0.015002173143961772 | Time = 131s
Step 301000 | Order = 0.008509847818435886 | Time = 132s
Step 302000 | Order = 0.0031136490448926595 | Time = 132s
Step 303000 | Order = 0.01404244751050962 | Time = 133s
Step 304000 | Order = 0.012948696883859209 | Time = 133s
Step 305000 | Order = 0.0070597184488631745 | Time = 133s
Step 306000 | Order = 0.01208990893776761 | Time = 134s
Step 307000 | Order = 0.0060430009270795717 | Time = 134s
Step 308000 | Order = 0.0095226530253094636 | Time = 135s
Step 309000 | Order = 0.0095607689143119446 | Time = 135s
Step 310000 | Order = 0.0095454307753617025 | Time = 136s
Step 311000 | Order = 0.02178920716169486 | Time = 136s
Step 312000 | Order = 0.019829895342419811 | Time = 137s
Step 313000 | Order = 0.0026436075043534007 | Time = 137s
Step 314000 | Order = 0.016188312379941786 | Time = 137s
Step 315000 | Order = 0.014646818541834809 | Time = 138s
Step 316000 | Order = 0.022278300791133274 | Time = 138s
Step 317000 | Order = 0.007084162200247766 | Time = 139s
Step 318000 | Order = 0.0094327094213545026 | Time = 139s
Step 319000 | Order = 0.01584514359526298 | Time = 140s
Step 320000 | Order = 0.020378463956002905 | Time = 140s
Step 321000 | Order = 0.010219695559411669 | Time = 140s
Step 322000 | Order = 0.010768281123604678 | Time = 141s
Step 323000 | Order = 0.0065391164217499312 | Time = 141s
Step 324000 | Order = 0.0054566233945438324 | Time = 142s
Step 325000 | Order = 0.015268437430028554 | Time = 142s
Step 326000 | Order = 0.010438090453029529 | Time = 143s
Step 327000 | Order = 0.015011919550746237 | Time = 143s
Step 328000 | Order = 0.0093860063102422144 | Time = 143s
Step 329000 | Order = 0.012541352653043451 | Time = 144s
Step 330000 | Order = 0.0084197882612186623 | Time = 144s
Step 331000 | Order = 0.015601387917184618 | Time = 145s
Step 332000 | Order = 0.01326081529465758 | Time = 145s
