Simulation #49, Parameters: eta = 0.294997 | rho = 0.101985 | v0 = 0.294997s
Step 0 | Order = 0.029725616250245106 | Time = 0s
Step 1000 | Order = 0.030726539562110061 | Time = 0s
Step 2000 | Order = 0.030726539562110061 | Time = 0s
Step 3000 | Order = 0.030726539562110054 | Time = 0s
Step 4000 | Order = 0.030726539562110054 | Time = 0s
Step 5000 | Order = 0.030726539562110054 | Time = 0s
Step 6000 | Order = 0.030726539562110057 | Time = 1s
Step 7000 | Order = 0.030726539562110054 | Time = 1s
Step 8000 | Order = 0.030726539562110061 | Time = 1s
Step 9000 | Order = 0.030726539562110054 | Time = 1s
Step 10000 | Order = 0.030726539562110054 | Time = 1s
Step 11000 | Order = 0.030726539562110054 | Time = 1s
Step 12000 | Order = 0.030726539562110057 | Time = 1s
Step 13000 | Order = 0.030726539562110061 | Time = 2s
Step 14000 | Order = 0.030726539562110061 | Time = 2s
Step 15000 | Order = 0.030726539562110061 | Time = 2s
Step 16000 | Order = 0.030726539562110054 | Time = 2s
Step 17000 | Order = 0.030726539562110054 | Time = 2s
Step 18000 | Order = 0.030726539562110054 | Time = 2s
Step 19000 | Order = 0.030726539562110057 | Time = 2s
Step 20000 | Order = 0.030726539562110054 | Time = 3s
Step 21000 | Order = 0.030726539562110054 | Time = 3s
Step 22000 | Order = 0.030726539562110061 | Time = 3s
Step 23000 | Order = 0.030726539562110061 | Time = 3s
Step 24000 | Order = 0.030726539562110057 | Time = 3s
Step 25000 | Order = 0.030726539562110054 | Time = 3s
Step 26000 | Order = 0.030726539562110061 | Time = 4s
Step 27000 | Order = 0.030726539562110054 | Time = 4s
Step 28000 | Order = 0.030726539562110054 | Time = 4s
Step 29000 | Order = 0.030726539562110054 | Time = 4s
Step 30000 | Order = 0.030726539562110054 | Time = 4s
Step 31000 | Order = 0.030726539562110057 | Time = 4s
Step 32000 | Order = 0.030726539562110054 | Time = 4s
Step 33000 | Order = 0.030726539562110054 | Time = 5s
Step 34000 | Order = 0.030726539562110057 | Time = 5s
Step 35000 | Order = 0.030726539562110054 | Time = 5s
Step 36000 | Order = 0.030726539562110054 | Time = 5s
Step 37000 | Order = 0.030726539562110057 | Time = 5s
Step 38000 | Order = 0.030726539562110054 | Time = 5s
Step 39000 | Order = 0.030726539562110054 | Time = 5s
Step 40000 | Order = 0.030726539562110054 | Time = 6s
Step 41000 | Order = 0.030726539562110054 | Time = 6s
Step 42000 | Order = 0.030726539562110057 | Time = 6s
Step 43000 | Order = 0.030726539562110061 | Time = 6s
Step 44000 | Order = 0.030726539562110054 | Time = 6s
Step 45000 | Order = 0.030726539562110057 | Time = 6s
Step 46000 | Order = 0.030726539562110054 | Time = 6s
Step 47000 | Order = 0.030726539562110054 | Time = 7s
Step 48000 | Order = 0.030726539562110054 | Time = 7s
Step 49000 | Order = 0.030726539562110061 | Time = 7s
Step 50000 | Order = 0.030726539562110054 | Time = 7s
Step 51000 | Order = 0.030726539562110054 | Time = 7s
Step 52000 | Order = 0.030726539562110061 | Time = 7s
Step 53000 | Order = 0.030726539562110054 | Time = 8s
Step 54000 | Order = 0.030726539562110054 | Time = 8s
Step 55000 | Order = 0.030726539562110054 | Time = 8s
Step 56000 | Order = 0.030726539562110054 | Time = 8s
Step 57000 | Order = 0.030726539562110054 | Time = 8s
Step 58000 | Order = 0.030726539562110061 | Time = 8s
Step 59000 | Order = 0.030726539562110057 | Time = 9s
Step 60000 | Order = 0.030726539562110054 | Time = 9s
Step 61000 | Order = 0.030726539562110054 | Time = 9s
Step 62000 | Order = 0.030726539562110054 | Time = 9s
Step 63000 | Order = 0.030726539562110057 | Time = 9s
Step 64000 | Order = 0.030726539562110057 | Time = 9s
Step 65000 | Order = 0.030726539562110054 | Time = 9s
Step 66000 | Order = 0.030726539562110054 | Time = 10s
Step 67000 | Order = 0.030726539562110054 | Time = 10s
Step 68000 | Order = 0.030726539562110054 | Time = 10s
Step 69000 | Order = 0.030726539562110054 | Time = 10s
Step 70000 | Order = 0.030726539562110057 | Time = 10s
Step 71000 | Order = 0.030726539562110061 | Time = 10s
Step 72000 | Order = 0.030726539562110054 | Time = 10s
Step 73000 | Order = 0.030726539562110054 | Time = 10s
Step 74000 | Order = 0.030726539562110054 | Time = 11s
Step 75000 | Order = 0.030726539562110057 | Time = 11s
Step 76000 | Order = 0.030726539562110054 | Time = 11s
Step 77000 | Order = 0.030726539562110054 | Time = 11s
Step 78000 | Order = 0.030726539562110061 | Time = 11s
Step 79000 | Order = 0.030726539562110054 | Time = 11s
Step 80000 | Order = 0.030726539562110054 | Time = 11s
Step 81000 | Order = 0.030726539562110054 | Time = 12s
Step 82000 | Order = 0.030726539562110054 | Time = 12s
Step 83000 | Order = 0.030726539562110054 | Time = 12s
Step 84000 | Order = 0.030726539562110057 | Time = 12s
Step 85000 | Order = 0.030726539562110054 | Time = 12s
Step 86000 | Order = 0.030726539562110054 | Time = 12s
Step 87000 | Order = 0.030726539562110054 | Time = 12s
Step 88000 | Order = 0.030726539562110054 | Time = 12s
Step 89000 | Order = 0.030726539562110054 | Time = 13s
Step 90000 | Order = 0.030726539562110054 | Time = 13s
Step 91000 | Order = 0.030726539562110054 | Time = 13s
Step 92000 | Order = 0.030726539562110057 | Time = 13s
Step 93000 | Order = 0.030726539562110057 | Time = 13s
Step 94000 | Order = 0.030726539562110054 | Time = 13s
Step 95000 | Order = 0.030726539562110054 | Time = 13s
Step 96000 | Order = 0.030726539562110054 | Time = 14s
Step 97000 | Order = 0.030726539562110061 | Time = 14s
